author,affiliation
"wahab, rizwan",Zoology Department
"ahmad, javed",Zoology Department
"ahmad, naushad",Chemistry Department
"alam, manawwer",Chemistry Department
"alkahtani, badr saad t.",Mathematics Department
"shrahili, mansour",Statistics & Operations Research Department
"shafay, a. r.",Natural Science Department
"issa, khaled",Electrical Engineering Department
"alsanad, ahmed",Information Systems Department
"hassan, mohammed mehedi",Research Chair Pervas & Mobile Computer
"nehdi, imeddedine arbi",Chemistry Department
"al kheraif, abdulaziz a.",Dental Health Department
"mahmood, awais",Information Science Department
"al-homaidan, ali a.",Botany & Microbiology Department
"al-otaibi, turki g.",Botany & Microbiology Department
"elshikh, mohamed soliman",Botany & Microbiology Department
"ameen, fuad",Botany & Microbiology Department
"muddassir, mohd.",Chemistry Department
"alyousif, mohamed s.",Zoology Department
"mrad, mehdi",Industrial Engineering Department
"wani, kaiser",Biochemistry Department
"sabico, shaun",Biochemistry Department
"alnaami, abdullah m.",Biochemistry Department
"alokail, majed s.",Biochemistry Department
"al-daghri, nasser m.",Biochemistry Department
"al-musharaf, sara",Community Health Department
"fouda, mona a.",Medical Department
"turkestani, iqbal z.",Obstet & Gynaecol Department
"al-ajlan, abdulrahman",Clinical Lab Science Department
"almubarak, hessah a.",Geog Department
"salih, mustafa a.",Pediatric Neuroophthalmology Division
"faizal-ul-haque, muhammad",Pathology Department
"chishti, mohammad azhar",Biochemistry Department
"almomen, aliyah",Pharmaceutical Chemistry Department
"maher, hadir m.",Pharmaceutical Chemistry Department
"alzoman, nourah z.",Pharmaceutical Chemistry Department
"shehata, shereen m.",Pharmaceutical Chemistry Department
"al-taweel, shorog m.",Pharmaceutical Chemistry Department
"alanazi, ashwaq a.",Pharmaceutical Chemistry Department
"ullah, riaz",Medical Aromat & Poisonous Plants Research Center
"bari, ahmed",Lab Center
"riyahi, abdullah mahmoud",Endodontics Division
"al-sudani, dina",Researchtorat Dental Science Department
"al-modlej, abeer",Physics & Astronomy Department
"divakar, darshan devang",Dental Health Department
"hussain, shaik althaf",Zoology Department
"alomar, suliman y.",Zoology Department
"mohammad, altaf",Chemistry Department
"abdel-daim, mohamed m.",Zoology Department
"alotaibi, mohammed",Ophthalmology Department
"razak, suhail",Community Health Science Department
"alam, iftikhar",Community Health Science Department
"afsar, tayyaba",Community Health Science Department
"abulmeaty, mahmoud",Community Health Science Department
"almajwal, ali",Community Health Science Department
"alshehri, saad m.",Chemistry Department
"ahamad, tansir",Chemistry Department
"alaskar, abdulaziz",Civil Engineering Department
"alrshoudi, fahed",Civil Engineering Department
"khan, mohd shahnawaz",Biochemistry Department
"alokail, majed s.",Biochemistry Department
"rehman, md tabish",Pharmacology Department
"alajmi, mohamed f.",Pharmacology Department
"alshehri, saad m.",Chemistry Department
"ahamad, tansir",Chemistry Department
"syed, asad",Botany & Microbiology Department
"shair, omar h.",Botany & Microbiology Department
"alsaedi, marzouq",Botany & Microbiology Department
"abdel-daim, mohamed m.",Zoology Department
"badr, amira m.",Pharmacology & Toxicology Department
"attia, hala a.",Pharmacology & Toxicology Department
"al-rasheed, nouf",Pharmacology & Toxicology Department
"almeneessier, aljohara s.",University Sleep Disorders Center
"alshahrani, mana",University Sleep Disorders Center
"aleissi, salih",University Sleep Disorders Center
"hammad, omeima s.",University Sleep Disorders Center
"olaish, awad h.",University Sleep Disorders Center
"bahammam, ahmed s.",University Sleep Disorders Center
"almeneessier, aljohara s.",Family Medical Department
"albacker, turki b.",Cardiac Science Department
"bakir, bakir",Cardiac Science Department
"eldemerdash, ahmed",Cardiac Science Department
"elshaer, fayez",Cardiac Science Department
"albacker, hanan",Cardiac Science Department
"alawami, murtadha",Cardiac Science Department
"kashour, tarek",Cardiac Science Department
"razak, suhail",Community Health Science Department
"afsar, t.",Community Health Science Department
"almajwal, ali",Community Health Science Department
"dar, j. a.",Zoology Department
"bukhari, ishfaq a.",Pharmacology Department
"mohamed, osama y.",Pharmacology Department
"vohra, fahim",Prosthetic Dental Science Department
"afzal, sibtain",Prince Naif Center Immunology Research
"fadimu, gbemisola j.",Food Science & Nutrition Department
"ghafoor, kashif",Food Science & Nutrition Department
"babiker, elfadil e.",Food Science & Nutrition Department
"al-juhaimi, fahad y.",Food Science & Nutrition Department
"abdulraheem, rasheed a.",Food Science & Nutrition Department
"al juhaimi, fahad",Food Science & Nutrition Department
"ghafoor, kashif",Food Science & Nutrition Department
"babiker, elfadil e.",Food Science & Nutrition Department
"ahmed, isam a. mohamed",Food Science & Nutrition Department
"khan, rais ahmad",Chemistry Department
"abu khanjer, maymonah",Chemistry Department
"alslame, ali",Chemistry Department
"shakeel, faiyaz",Pharmaceutical Department
"alasmary, fatmah a. s.",Chemistry Department
"hagar, hanan h.",Physiology & Pharmacology Department
"hagar, hanan h.",Physiology & Pharmacology Department
"aljuraiban, ghadeer s.",Community Health Science Department
"abulmeaty, mahmoud",Community Health Science Department
"ahmad, mohammad",Medical Surgery Department
"al-shehri, abdual rahman",Medical Surgery Department
"shakeel, faiyaz",Pharmaceutical Department
"haq, nazrul",Pharmaceutical Department
"alanazi, fars k.",Pharmaceutical Department
"alanazi, saleh a.",Pharmaceutical Department
"alsarra, ibrahim a.",Pharmaceutical Department
"al daghri, nasser",Biochemistry Department
"khan, farrukh aslam",Excellence Information Assurance Coeia Center
"king saud univ, coll med, div radiat oncol, riyadh, saudi arabia",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"princess margaret hosp, toronto, on, canada",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"toronto sunnybrook reg canc ctr, toronto, on, canada",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"univ hlth network, toronto, on, canada",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"sunnybrook med ctr, hope res ctr, toronto, on, canada",Radiation Oncology Division
"mcgill univ, montreal, pq, canada",Radiation Oncology Division
"sunnybrook hlth sci ctr, odette canc ctr, toronto, on, canada",Radiation Oncology Division
"dewir, yaser hassan",Plant Production Department
"migdadi, hussein m.",Plant Production Department
"al-heizan, muhammad o.",Rehabilitation Science Department
"al-hussaini, abdulrahman",Pediatric Department
"khan, aslam",King Abdullah Institute Nanotechnology
"ahmad, shafiq",Industrial Engineering Department
"sharaf, mohamed",Industrial Engineering Department
"alkahtani, saad",Zoology Department
"abdel-daim, mohamed m.",Zoology Department
"samet, bessem",Mathematics Department
"ali, hatem s.",Food Science & Nutrition Department
"al-khalifa, abdel rahman",Food Science & Nutrition Department
"alhabib, khalid f.",Clinical Science Department
"ullah, anhar",Clinical Science Department
"alfaleh, hussam",Clinical Science Department
"atta, ayman m.",Chemistry Department
"al-lohedan, hamad abdullah",Chemistry Department
"ezzat, abdelrahman o.",Chemistry Department
"alsubait, sara",Researchtorat Dental Science Department
"alfawaz, hussam",Researchtorat Dental Science Department
"alqedairi, abdullah",Researchtorat Dental Science Department
"laref, amel",Physics Department
"reginster, j. y.",Biochemistry Department
"alhasan, khalid",Paediatrics Department
"eltayeb, hassan",Mathematics Department
"mesloub, said",Mathematics Department
"almoajel, alia",Community Health Science Department
"al-daghri, nasser m.",Biochemistry Department
"reginster, j. y.",Biochemistry Department
"alsanad, ahmed",Information Systems Department
"gumaei, abdu",Information Systems Department
"jleli, mohamed",Mathematics Department
"samet, bessem",Mathematics Department
"zobel, martin",Zoology Department
"alswaidan, ibrahim a.",Pharmaceutical Chemistry Department
"al-sarar, ali s.",Plant Protection Department
"abobakr, yasser",Plant Protection Department
"al-zabib, ali a. s.",Plant Protection Department
"bazeyad, abdulqader y.",Plant Protection Department
"syed, asad",Botany & Microbiology Department
"bahkali, ali h.",Botany & Microbiology Department
"elgorban, abdallah m.",Botany & Microbiology Department
"ahmad, naushad",Chemistry Department
"bari, ahmed",Pharmaceutical Chemistry Department
"alamri, saud a.",Botany & Microbiology Department
"alamri, saud a.",Botany & Microbiology Department
"batoo, khalid mujasam",King Abdullah Institute Nanotechnology
"alsahli, abdulaziz a.",Botany & Microbiology Department
"alaraidh, ibrahim a.",Botany & Microbiology Department
"alamri, saud a.",Botany & Microbiology Department
"khan, muhammad khurram",Excellence Information Assurance Center
"muhammad, ghulam",Computer Engineering Department
"hossain, m. shamim",Software Engineering Department
"islam, mohammad",Excellence Research Engineering Material Center
"ahmad, iftikhar",Excellence Research Engineering Material Center
"parvez, shahid",Mechanical Engineering Department
"khan, salah ud-din",Sustainable Energy Technololgy Center
"al-enizi, abdullah m.",Chemistry Department
"ubaidullah, mohd",Chemistry Department
"ahmed, jahangeer",Chemistry Department
"ahamad, tansir",Chemistry Department
"shaikh, shoyebmohamad f.",Chemistry Department
"ahmad, naushad",Chemistry Department
"imran, muhammad",Computer Science Department
"saleem, kashif",Excellence Information Assurance Center
"al-khalli, najeeb",Electrical Engineering Department
"aboud, mohamed f. aly",Sustainable Energy Technology Center
"shakir, imran",Sustainable Energy Technology Center
"al-wabel, mohammad i.",Soil Science Department
"ahmad, munir",Soil Science Department
"usman, adel r.",Soil Science Department
"sallam, abdulazeem s.",Soil Science Department
"binyameen, ridwan b.",Soil Science Department
"shehu, muhammed r.",Soil Science Department
"derhab, abdelouahid",Excellence Information Assurance Coeia Center
"emam, ahmed z.",Information Systems Department
"ahmad, naushad",Chemistry Department
"kadaikunnan, shine",Botany & Microbiology Department
"alharbi, naiyf s.",Botany & Microbiology Department
"khaled, jamal m.",Botany & Microbiology Department
"alanzi, khalid f.",Botany & Microbiology Department
"wani, tanveer a.",Pharmaceutical Chemistry Department
"bakheit, ahmed h.",Pharmaceutical Chemistry Department
"al-majed, abdulrahman a.",Pharmaceutical Chemistry Department
"zargar, seema",Biochemistry Department
"rizwana, humaira",Microbiology & Botany Department
"ali, m.",Chemistry Department
"al-majid, abdullah mohammed",Chemistry Department
"islam, mohammad shahidul",Chemistry Department
"barakat, assem",Chemistry Department
"ameen, fuad",Botany & Microbiology Department
"alharbi, s. a.",Botany & Microbiology Department
"siraj, mohammad",Electrical Engineering Department
"rennenberg, heinz",Zoology Department
"shakeel, faiyaz",Pharmaceutical Department
"alqasoumi, saleh, i",Pharmacognosy Department
"abdullah-al-wadud, m.",Software Engineering Department
"islam, md saiful",Computer Science Department
"alsaleh, nasser b.",Pharmacology & Toxicology Department
"alsum, zobaida",Pediatric Department
"alkhamis, nouf",Pediatric Department
"alangari, abdullah a.",Pediatric Department
"paray, bilal ahamad",Zoology Department
"al-sadoon, mohammad k.",Zoology Department
"aljowaie, reem m.",Botany & Microbiology Department
"almajhdi, fahad n.",Botany & Microbiology Department
"ali, hebatallh h.",Research Center
"el-wetidy, mohammad s.",Research Center
"shier, medhat k.",Research Center
"mohammad, faruq",Chemistry Department
"khan, aslam",King Abdullah Institute Nanotechnology
"mohammad, faruq",Chemistry Department
"ben arab, mounira",Finance Department
"bin omran, s.",Physics & Astronomy Department
"wabaidur, s. m.",Chemistry Department
"sabr, yasser s.",Obstet & Gynecology Department
"salih, mustafa a. m.",Pediatric Neuroophthalmology Division
"vohra, fahim",Prosthetic Dental Science Department
"albaijan, refal",Prosthetic Dental Science Department
"bukhari, ishfaq ali",Pharmacology Department
"sheikh, saeed a.",Pharmacology Department
"bello, ibrahim o.",Oral Medical & Diagnostic Science Department
"khan, salah ud-din",Sustainable Energy Technology Center
"aljohani, hanan",Oral Medical & Diagnostic Science Department
"naushad, mu",Chemistry Department
"hayat, khizar",Food Science & Nutrition Department
"shahzad, syed ali",Food Science & Nutrition Department
"tahir, muhammad usman",Plant Production Department
"aljumaah, riyadh s.",Animal Production Department
"aljanobi, ghadeer",Prosthetic Dental Science Department
"al-sowygh, zeyad h.",Prosthetic Dental Science Department
"algarni, abdulrahman d.",Orthopedic Surgery Department
"elansary, hosam o.",Plant Production Department
"al-mana, fahed a.",Plant Production Department
"al-yafrasi, mohamed a.",Plant Production Department
"ahmad, ajaz",Clinical Pharmacology Department
"alkharfy, khalid m.",Clinical Pharmacology Department
"jan, basit latief",Clinical Pharmacology Department
"ahad, abdul",Pharmaceutical Department
"al-jenoobi, fahad i.",Pharmaceutical Department
"raish, mohammad",Pharmaceutical Department
"ansari, mushtaq ahmad",Pharmacology & Toxicology Department
"alshehri, saad m.",Chemistry Department
"ahamad, tansir",Chemistry Department
"alzrayer, nouf m.",Special Education Department
"anis, arfat",Chemical Engineering Department
"alkahtani, saad",Zoology Department
"abdel-daim, mohamed m.",Zoology Department
"abdel-daim, mohamed m.",Zoology Department
"alharbi, khalid khalaf",Clinical Lab Science Department
"khan, imran ali",Clinical Lab Science Department
"al-sheikh, yazeed",Clinical Lab Science Department
"al-basher, ghada",Zoology Department
"alfarraj, saleh",Zoology Department
"al-sultan, nouf k.",Zoology Department
"alarifi, saud",Zoology Department
"alkahtani, saad",Zoology Department
"al-otibi, fatimah o.",Botany & Microbiology Department
"ekhzaimy, aishah",Medical Department
"alzahrani, seham",Medical Department
"al-ghamdi, waleed",Medical Department
"alotaibi, daad",Medical Department
"mujammami, muhammad",Medical Department
"masood, afshan",Obesity Research Center
"masood, afshan",Proteomics Researchource Unit Obesity
"metwally, dina m.",Zoology Department
"ahmad, naushad",Chemistry Department
"ghfar, ayman a.",Chemistry Department
"ahamad, tansir",Chemistry Department
"almusallam, tarek h.",Civil Engineering Department
"al-salloum, yousef",Civil Engineering Department
"elsanadedy, hussein m.",Civil Engineering Department
"abbas, husain",Civil Engineering Department
"el-meligy, mohammed a.",Advanced Manufacturing Institute
"el-sherbeeny, ahmed m.",Industrial Engineering Department
"ahmad, naushad",Chemistry Department
"al-hashim, mansour",Geology & Geophysics Department
"allakhverdiev, suleyman i.",Zoology Department
"nehdi, imededdine arbi",Chemistry Department
"wabaidur, saikh mohammad",Chemistry Department
"el komy, mahmoud h.",Plant Protection Department
"saleh, amgad a.",Plant Protection Department
"ibrahim, yasser e.",Plant Protection Department
"molan, younes y.",Plant Protection Department
al khalifah,Pediatric Department
"fatehmulla, amanullah",Physics & Astronomy Department
"shamsan, belqes saeed a.",Physics & Astronomy Department
"aldhafiri, abdullah m.",Physics & Astronomy Department
"farooq, w. a.",Physics & Astronomy Department
"khan, javed masood",Food Science & Nutrition Department
"malik, ajamaluddin",Biochemistry Department
"arunachalam, prabhakarn",Chemistry Department
"al-mayouf, abdullah m.",Chemistry Department
"almutairi, zeyad a.",Mechanical Engineering Department
"azam, mohammad",Chemistry Department
"al-resayes, saud i.",Chemistry Department
"khan, mohammad rizwan",Chemistry Department
"wabaidur, saikh mohammad",Chemistry Department
"shakeel, faiyaz",Pharmaceutical Department
"farooq, w. a.",Physics & Astronomy Department
"al-johani, awatef s.",Physics & Astronomy Department
"alsalhi, m. s.",Physics & Astronomy Department
"qindeel, rabia",Physics & Astronomy Department
"alsalhi, m. s.",Physics & Astronomy Department
"hussain, afzal",Pharmacognosy Department
"alajmi, mohamed f.",Pharmacognosy Department
"rehman, md tabish",Pharmacognosy Department
"noman, omar m.",Medical Aromat & Poisonous Plants Research Center
"nur-e-alam, mohammad",Pharmacognosy Department
"ahmed, sarfaraz",Pharmacognosy Department
"yousaf, muhammad",Pharmacognosy Department
"mothana, ramzi a.",Pharmacognosy Department
"al-rehaily, adnan j.",Pharmacognosy Department
"khan, mujeeb",Chemistry Department
"shaik, mohammed rafi",Chemistry Department
"adil, syed farooq",Chemistry Department
"alwarthan, abdulrahman",Chemistry Department
"siddiqui, mohammed rafiq h.",Chemistry Department
"pumera, martin",Chemistry Department
"el-sorogy, abdelbaset s.",Geology & Geophysics Department
"al-kahtany, khaled m.",Geology & Geophysics Department
"alahmad, tahani a.",Rehabilitation Science Department
"aldosari, muath",Periodontics & Community Dental Department
"abdelgader, a. m.",Physiology Department
"al ghumlas, abeer k.",Physiology Department
"abdelgader, a. m.",Physiology Department
"al ghumlas, abeer k.",Physiology Department
"shaik, mohammed rafi",Chemistry Department
"adil, syed farooq",Chemistry Department
"siddiqui, mohammed rafiq h.",Chemistry Department
"khan, mujeeb",Chemistry Department
"alkahtani, mohammed",Industrial Engineering Department
"rehman, ateekh ur",Industrial Engineering Department
"abdel-daim, mohamed m.",Zoology Department
"alajmi, mohamed f.",Pharmacognosy College Pharmacology Department
"hussain, afzal",Pharmacognosy College Pharmacology Department
"nehdi, imededdine arbi",Chemistry Department
"attwa, mohamed w.",Pharmaceutical Chemistry Department
"kadi, adnan a.",Pharmaceutical Chemistry Department
"abdelhameed, ali s.",Pharmaceutical Chemistry Department
"yezli, saber",Global Center Mass Gatherings Medical
"al-khowaiter, saad s.",Gastroenterology Division
"al-sharif, eman m.",Ophthalmology Department
"alsaif, sarah k.",Ophthalmology Department
"al-muammar, abdulrahman",Ophthalmology Department
"almohaya, abdulellah m.",Infectious Disease Unit
"alotaibi, naif h.",Infectious Disease Unit
"alotaibi, muath s.",Infectious Disease Unit
"somily, ali m.",Microbiology Units
"mohammed, esraa a.",Pediatric Department
"al-hussaini, abdulrahman",Prince Abdullah Bin Khalid Celiac Disease Research Chair
"sharaf, mostafa r.",Plant Protection Department
"al dhafer, hathal m.",Plant Protection Department
"aldawood, abdulrahman s.",Plant Protection Department
"al-mutaz, ibrahim s.",Chemistry Engineering Department
"al-omran, abdulrasoul",Soil Science Department
"al-muataz, ibrahim",Chemistry Engineering Department
"ahamad, t.",Chemistry Department
"alshehri, s. m.",Chemistry Department
"alsalme, a.",Chemistry Department
"abduh, naaser a. y.",Chemistry Department
"al-garni, tahani",Chemistry Department
"al kahtani, abdullah",Chemistry Department
"aouissi, ahmed",Chemistry Department
"el khrepy, s.",Geology & Geophysics Department
"al-arifi, n.",Geology & Geophysics Department
"kumar, nadavala siva",Chemical Engineering Department
"al-fatesh, ahmed s.",Chemical Engineering Department
"ibrahim, ahmed a.",Chemical Engineering Department
"fakeeha, anish h.",Chemical Engineering Department
"ali, hayssam mohamed",Botany & Microbiology Department
"alhabib, khalid f.",King Fahad Cardiac Center
"al-harbi, najla s.",Biochemistry Department
"siddiqi, nikhat jamal",Biochemistry Department
"khan, haseeb a.",Biochemistry Department
"alrashood, sara t.",Pharmaceutical Chemistry Department
"arafah, maha m.",Pathology Department
"shaikh, shoyebmohamad f.",Chemistry Department
"al-enizi, abdullah m.",Chemistry Department
"ubaidullah, mohd",Chemistry Department
"azer, samy a.",Medical Education Department
"naglah, ahmed m.",Pharmaceutical Chemistry Department
"azzam, nahla",Gastroenterology Division
"alharbi, othman",Gastroenterology Division
"almadi, majid",Gastroenterology Division
"aljebreen, abdulrahman",Gastroenterology Division
"alabbas, mohammed",Gastroenterology Division
"bahammam, salman",Gastroenterology Division
"bashmail, ahmed",Gastroenterology Division
"alomar, yasser",Gastroenterology Division
"almufleh, aws",Cardiac Science Department
"aljaloud, sulaiman o.",Exercise Physiology Department
"hussein, el-sayed o. s.",Animal Production Department
"elsadek, mohamed f.",Community Health Science Department
"ahmed, badreldin m.",Community Health Science Department
"elshafie, mona m.",Community Health Science Department
"al-ghurabi, ebrahim h.",Chemical Engineering Department
"kumar, nadavala siva",Chemical Engineering Department
"asif, mohammad",Chemical Engineering Department
"shahabuddin, mohammed",Physics & Astronomy Department
"atta, ayman m.",Chemistry Department
"amr, abd el-galil e.",Pharmaceutical Chemistry Department
"elsayed, elsayed a.",Zoology Department
"ibrahim, hesham m.",Soil Science Department
"awad, mohammed",Soil Science Department
"al-farraj, abdullah s.",Soil Science Department
"al-turki, ali m.",Soil Science Department
"arunachalam, prabhakarn",Chemistry Department
"alharbi, sulaiman ali",Botany & Microbiology Department
"shair, omar h.",Botany & Microbiology Department
"chinnathambi, arunachalam",Botany & Microbiology Department
"saif, waddah s.",Electrical Engineering Department
"alshebeili, saleh a.",Electrical Engineering Department
"saif, waddah s.",Electrical Engineering Department
"ragheb, amr",Electrical Engineering Department
"alshebeili, saleh a.",Electrical Engineering Department
"aboshaiqah, ahmad e.",Nursing Administration & Education Department
"eltamaly, ali m.",Sustainable Energy Technololgy Center
"al-saud, m. s.",Electrical Engineering Department
"eltamaly, ali m.",Sustainable Energy Technololgy Center
"al-saud, m. s.",Electrical Engineering Department
"aldayel, mashael",Information Systems Department
"ykhlef, mourad",Information Systems Department
"aldayel, abeer",Information Technololgy Department
"al rahhal, mohamad m.",Information Systems Department
"albakr, abdulrahman",Surgery Department
"al-habib, amro",Surgery Department
"mahrous, emad",Advanced Manufacturing Institute
"mahrous, emad",Electrical Engineering Department
"sherif, el-sayed m.",Excellence Research Engineering Material Center
"rehman, muneeb u.",Clinical Pharmacology Department
"ahmad, parvaiz",Botany & Microbiology Department
"ahamed, maqusood",King Abdullah Institute Nanotechnology
"akhtar, mohd javed",King Abdullah Institute Nanotechnology
"khan, m. a. majeed",King Abdullah Institute Nanotechnology
"saeed, waseem sharaf",Chemistry Department
"al-odayni, abdel-basit",Chemistry Department
"alghamdi, abdulaziz ali",Chemistry Department
"al-ahmari, abdulrahman",Industrial Engineering Department
"alshammari, maryam k.",Botany & Microbiology Department
"alkhulaifi, manal mohammed",Botany & Microbiology Department
"al farraj, dunia",Botany & Microbiology Department
"somily, ali m.",Pathology Department
"albarrag, ahmed m.",Pathology Department
"elmhamdi, a.",Physics & Astronomy Department
"kordi, a. s.",Physics & Astronomy Department
"al-shammari, rehab",Physics & Astronomy Department
"al-mosabeh, khaled",Physics & Astronomy Department
"bano, n.",Physics & Astronomy Department
"hussain, i",Physics & Astronomy Department
"el-naggar, a. m.",Physics & Astronomy Department
"albassam, a. a.",Physics & Astronomy Department
"alamri, abdullah",Geology & Geophysics Department
"amr, abd el-galil e.",Pharmaceutical Chemistry Department
"al-omar, mohamed a.",Pharmaceutical Chemistry Department
"almehizia, abdulrahman a.",Pharmaceutical Chemistry Department
"alghadeer, sultan",Clinical Pharmacology Department
"syed, wajid",Clinical Pharmacology Department
"al-arifi, mohamed n.",Clinical Pharmacology Department
"arafah, azher",Clinical Pharmacology Department
"almetawazi, mansour s.",Clinical Pharmacology Department
"babelghaith, salmeen d.",Clinical Pharmacology Department
"alajmi, mohamed f.",Pharmacognosy Department
"husain, afzal",Pharmacognosy Department
"alam, mohammad asif",Excellence Research Engineering Material Cerem Center
"samad, ubair abdus",Chemical Engineering Department
"sherif, el-sayed m.",Mechanical Engineering Department
"alharthi, nabeel",Mechanical Engineering Department
"poulose, anesh m.",Chemistry Engineering Department
"al-zahrani, saeed m.",Chemistry Engineering Department
"alharthi, nabeel",Mechanical Engineering Department
"alolaiyan, hanan",Mathematics Department
"seikh, asiful h.",Excellence Research Engineering Material Center
"sherif, el-sayed m.",Mechanical Engineering Department
"wani, kaiser",Biochemistry Department
"alnaami, abdullah m.",Biochemistry Department
"sabico, shaun",Biochemistry Department
"khattak, malak nawaz khan",Biochemistry Department
"al-attas, omar s.",Biochemistry Department
"alokail, majed s.",Biochemistry Department
"al-daghri, nasser m.",Biochemistry Department
"alfawaz, hanan",Food Science & Nutrition Department
"alfarraj, osama",Computer Science Department
"tolba, amr",Computer Science Department
"al-makhadmeh, zafer",Computer Science Department
"tolba, amr",Computer Science Department
"wahab, rizwan",Zoology Department
"al-khedhairy, abdulaziz a.",Zoology Department
"wahab, rizwan",Chair Dna Research
"sherif, el-sayed m.",Mechanical Engineering Department
"abdo, hany s.",Excellence Research Engineering Material Center
"alharthi, nabeel h.",Mechanical Engineering Department
"alharthi, nabeel h.",Mechanical Engineering Department
"alanazi, ahmed z.",Pharmacology & Toxicology Department
"saquib, quaiser",Zoology Department
"wahab, rizwan",Zoology Department
"faisal, mohammad",Botany & Microbiology Department
"amr, abd el-galil e.",Pharmaceutical Chemistry Department
"almehizia, abdulrahman a.",Pharmaceutical Chemistry Department
"al-omar, mohamed a.",Pharmaceutical Chemistry Department
"sulieman, magboul m.",Soil Science Department
"sallam, abdelazeem sh",Soil Science Department
"al-farraj, abdullah s.",Soil Science Department
"deshmukh, sharief",Mathematics Department
"alsodais, hana",Mathematics Department
"sherif, el-sayed m.",Mechanical Engineering Department
"sherif, el-sayed m.",Mechanical Engineering Department
"seikh, asiful h.",Excellence Research Engineering Material Center
"sherif, el-sayed m.",Mechanical Engineering Department
"seikh, asiful h.",Excellence Research Engineering Material Center
"abdalla, fathy",Science Research
"seleiman, mahmoud f.",Plant Production Department
"al-suhaibani, nasser a.",Plant Production Department
"refay, yahya",Plant Production Department
"alotaibi, majed",Plant Production Department
"abdella, kamel a.",Plant Production Department
"ibrahim, hesham m.",Soil Science Department
"al-turki, ali m.",Soil Science Department
"askar, sameh s.",Statistics & Operations Research Department
"al-khedhairi, a.",Statistics & Operations Research Department
"almogren, ahmad",Computer Science Department
"zuair, mansour",Computer Engineering Department
"mohammad, faruq",Chemistry Department
"elansary, hosam o.",Plant Production Department
"al-mana, fahed a.",Plant Production Department
"elansary, hosam o.",Plant Production Department
"al-mana, fahed a.",Plant Production Department
"alharbi, sulaiman a.",Botany & Microbiology Department
"al-garadi, maged a.",Animal Production Department
"naushad, mu.",Chemistry Department
"al-makhadmeh, zafer",Computer Science Department
"tolba, amr",Computer Science Department
"al-dhelaan, abdullah",Computer Science Department
"nehdi, imededdine arbi",Chemistry Department
"nehdi, imededdine arbi",Chemistry Department
