author,affiliation
"summons, roger e.",Earth Atmospheric & Planetary Science Department
"sawhney, mehtaab",Earth Atmospheric & Planetary Science Department
"chen, tiffany f.",Biological Engineering Department
"li, kevin k.",Biological Engineering Department
"wittrup, k. dane",Biological Engineering Department
"zhu, eric f.",Chemical Engineering Department
"opel, cary f.",Chemical Engineering Department
"kauke, monique j.",Chemical Engineering Department
"wittrup, k. dane",Chemical Engineering Department
"chen, tiffany f.",Koch Institute Integrative Cancer Research
"li, kevin k.",Koch Institute Integrative Cancer Research
"zhu, eric f.",Koch Institute Integrative Cancer Research
"opel, cary f.",Koch Institute Integrative Cancer Research
"kauke, monique j.",Koch Institute Integrative Cancer Research
"kim, heeyoon",Koch Institute Integrative Cancer Research
"atolia, eta",Koch Institute Integrative Cancer Research
"wittrup, k. dane",Koch Institute Integrative Cancer Research
"blainey, paul c.",Broad Institute
"staffilani, gigliola",Mathematics Department
van sang pham,Electrical Engineering & Computer Science Department
"bertsimas, dimitris",Electrical Engineering & Computer Science Department
"dunn, jack",Electrical Engineering & Computer Science Department
"pawlowski, colin",Electrical Engineering & Computer Science Department
"silberholz, john",Electrical Engineering & Computer Science Department
"weinstein, alexander",Electrical Engineering & Computer Science Department
"zhuo, ying daisy",Electrical Engineering & Computer Science Department
"torres, marcelo d. t.",Biological Engineering Department
"de la fuente-nunez, cesar",Biological Engineering Department
"torres, marcelo d. t.",Electrical Engineering & Computer Science Department
"de la fuente-nunez, cesar",Electrical Engineering & Computer Science Department
"torres, marcelo d. t.",Broad Institute
"de la fuente-nunez, cesar",Broad Institute
"mao, nannan",Electrical Engineering & Computer Science Department
"han, jongyoon",Electrical Engineering & Computer Science Department
"han, jongyoon",Biological Engineering Department
"han, jongyoon",Singaporemit  Alliance Research & Technology Smart Center
"kim, jae jung",Chemical Engineering Department
"doyle, patrick s.",Chemical Engineering Department
"dominguez, daniel",Biological Department
"su, amanda",Biological Department
"hochman, myles",Biological Department
"palden, tsultrim",Biological Department
"bazile, cassandra",Biological Department
"lambert, nicole j.",Biological Department
"burge, christopher b.",Biological Department
"freese, peter",Biological Department
"alexis, maria s.",Biological Department
"burge, christopher b.",Biological Engineering Department
"culviner, peter h.",Biological Department
"laub, michael t.",Biological Department
"laub, michael t.",Howard Hughes Medicine Institute
"chen, mo",Electrical Research Lab
"sun, won kyu calvin",Electrical Research Lab
"saha, kasturi",Electrical Research Lab
"jaskula, jean-christophe",Electrical Research Lab
"cappellaro, paola",Electrical Research Lab
"chen, mo",Mechanical Engineering Department
"sun, won kyu calvin",Nuclear Science & Engineering Department
"cappellaro, paola",Nuclear Science & Engineering Department
"cappellaro, paola",Nuclear Science & Engineering Department
"collins, ryan l.",Broad Institute
"lowther, chelsea",Broad Institute
"talkowski, michael e.",Broad Institute
"dennett, cody a.",Nuclear Science & Engineering Department
"short, michael p.",Nuclear Science & Engineering Department
"grozdanov, saso",Theoretical Physical Lab
"finkelstein, amy",Theoretical Physical Lab
"kluender, raymond",Theoretical Physical Lab
"de la fuente-nunez, cesar",Synthetic Biological Center
"de la fuente-nunez, cesar",Microbiome Information & Therapeutics Lab
"de la fuente-nunez, cesar",Biological Engineering Department
"de la fuente-nunez, cesar",Electrical Engineering & Computer Science Department
"de la fuente-nunez, cesar",Broad Institute
"norford, leslie",Architecture Department
"faramarzi, negar",Health Science & Technology Division
"yazdi, iman k.",Health Science & Technology Division
"nabavina, mahboubeh",Health Science & Technology Division
"gemma, andrea",Health Science & Technology Division
"fanelli, adele",Health Science & Technology Division
"caizzone, andrea",Health Science & Technology Division
"khademhosseini, ali",Health Science & Technology Division
"tamayol, ali",Health Science & Technology Division
"rothenberg, daniel",Global Change Science Lab
"wang, chien",Global Change Science Lab
"prinn, ronald g.",Global Change Science Lab
"dewitt, h. langley",Global Change Science Lab
"boriskina, svetlana v.",Mechanical Engineering Department
"tsurimaki, yoichiro",Mechanical Engineering Department
"grell, tsehai a. j.",Chemical Department
"drennan, catherine l.",Chemical Department
"drennan, catherine l.",Biological Department
"drennan, catherine l.",Howard Hughes Medicine Institute
"korzynski, maciej d.",Chemical Department
"dinca, mircea",Chemical Department
"consoli, daniel f.",Chemical Engineering Department
"zhang, shiran",Chemical Engineering Department
"roman-leshkov, yuriy",Chemical Engineering Department
"kitchaev, daniil a.",Material Science & Engineering Department
"ceder, gerbrand",Material Science & Engineering Department
"remington, evan d.",Mcgovern Institute Brain Research Center
"narain, devika",Mcgovern Institute Brain Research Center
"jazayeri, mehrdad",Mcgovern Institute Brain Research Center
"narain, devika",Brain & Cognitive Science Department
"hosseini, eghbal a.",Brain & Cognitive Science Department
"jazayeri, mehrdad",Brain & Cognitive Science Department
"ganna, andrea",Broad Institute
"ganna, andrea",Broad Institute
"rosen, zev b.",Brain & Cognitive Science Department
"gudiyella, soumya",Brain & Cognitive Science Department
"buras, zachary j.",Brain & Cognitive Science Department
"chu, te-chun",Brain & Cognitive Science Department
"green, william h.",Brain & Cognitive Science Department
"bainbridge, wilma a.",Brain & Cognitive Science Department
"hosios, aaron m.",Koch Institute Integrative Cancer Research
"li, zhaoqi",Koch Institute Integrative Cancer Research
"lien, evan c.",Koch Institute Integrative Cancer Research
"vander heiden, matthew g.",Koch Institute Integrative Cancer Research
"hosios, aaron m.",Biological Department
"li, zhaoqi",Biological Department
"lien, evan c.",Biological Department
"vander heiden, m. g.",Biological Department
"mead, benjamin e.",Division Health Science & Technology
"yin, xiaolei",Division Health Science & Technology
"hughes, travis k.",Division Health Science & Technology
"langer, robert",Division Health Science & Technology
"collins, james j.",Division Health Science & Technology
"shalek, alex k.",Division Health Science & Technology
"karp, jeffrey m.",Division Health Science & Technology
"mead, benjamin e.",Koch Institute Integrative Cancer Research
"ordovas-montanes, jose",Koch Institute Integrative Cancer Research
"braun, alexandra p.",Koch Institute Integrative Cancer Research
"levy, lauren e.",Koch Institute Integrative Cancer Research
"yin, xiaolei",Koch Institute Integrative Cancer Research
"hughes, travis k.",Koch Institute Integrative Cancer Research
"wadsworth, marc h., ii",Koch Institute Integrative Cancer Research
"langer, robert",Koch Institute Integrative Cancer Research
"shalek, alex k.",Koch Institute Integrative Cancer Research
"mead, benjamin e.",Broad Institute
"ordovas-montanes, jose",Broad Institute
"braun, alexandra p.",Broad Institute
"bhargava, prerna",Broad Institute
"szucs, matthew j.",Broad Institute
"macmullan, melanie",Broad Institute
"hughes, travis k.",Broad Institute
"wadsworth, marc h., ii",Broad Institute
"ahmad, rushdy",Broad Institute
"carr, steven a.",Broad Institute
"collins, james j.",Broad Institute
"shalek, alex k.",Broad Institute
"karp, jeffrey m.",Broad Institute
"ordovas-montanes, jose",Medicine Engineering & Science Institute
"bhargava, prerna",Medicine Engineering & Science Institute
"hughes, travis k.",Medicine Engineering & Science Institute
"wadsworth, marc h., ii",Medicine Engineering & Science Institute
"collins, james j.",Medicine Engineering & Science Institute
"shalek, alex k.",Medicine Engineering & Science Institute
"ordovas-montanes, jose",Chemical Department
"hughes, travis k.",Chemical Department
"wadsworth, marc h., ii",Chemical Department
"shalek, alex k.",Chemical Department
"langer, robert",Chemical Engineering Department
"shalek, alex k.",Ragon Institute
"collins, james j.",Biological Engineering Department
"collins, james j.",Synthetic Biological Center
"collins, james j.",Microbiome Information & Therapeutics Lab
"hu, jie",Electrical Engineering & Computer Science Department
"yeh, wei-hsi",Broad Institute
"rees, holly a.",Broad Institute
"liu, david r.",Broad Institute
"cardani, l.",Broad Institute
"joost, maximilian",Chemical Department
"nava, matthew",Chemical Department
"transue, wesley j.",Chemical Department
"cummins, christopher c.",Chemical Department
"kitchaev, daniil a.",Material Science & Engineering Department
"ceder, gerbrand",Material Science & Engineering Department
"anderson, christopher d.",Broad Institute
"eckles, dean",Broad Institute
"eckles, dean",Institute Data Systems & Society
"shtanko, oles",Physical Department
"levitov, l. s.",Physical Department
"gates, z. p.",Chemical Department
"vinogradov, alexander a.",Chemical Department
"quartararo, anthony j.",Chemical Department
"bandyopadhyay, anupam",Chemical Department
"choo, zi-ning",Chemical Department
"evans, ethan d.",Chemical Department
"halloran, kathryn h.",Chemical Department
"mijalis, alexander j.",Chemical Department
"mong, surin k.",Chemical Department
"simon, mark d.",Chemical Department
"standley, eric a.",Chemical Department
"styduhar, evan d.",Chemical Department
"tasker, sarah z.",Chemical Department
"touti, faycal",Chemical Department
"weber, jessica m.",Chemical Department
"wilson, jessica l.",Chemical Department
"jamison, timothy f.",Chemical Department
"pentelute, bradley l.",Chemical Department
"tzeng, stephany y.",David H Koch Institute Integrative Cancer Research
"mchugh, kevin j.",David H Koch Institute Integrative Cancer Research
"behrens, adam m.",David H Koch Institute Integrative Cancer Research
"rose, sviatlana",David H Koch Institute Integrative Cancer Research
"sugarman, james l.",David H Koch Institute Integrative Cancer Research
"ferber, shiran",David H Koch Institute Integrative Cancer Research
"langer, robert",David H Koch Institute Integrative Cancer Research
"jaklenec, ana",David H Koch Institute Integrative Cancer Research
"virto, javier",Theoretical Physical Lab
"bowring, samuel a.",Earth Atmospheric & Planetary Science Department
"suzuki, takehito",Physical Department
"checkelsky, joseph g.",Physical Department
"zhang, p. x.",Electrical Engineering & Computer Science Department
"bizzotto, sara",Broad Institute
"walsh, christopher a.",Broad Institute
"de wit, julien",Earth Atmospheric & Planetary Science Department
"hernandez, david m.",Physical Department
"hernandez, david m.",Kavli Astrophysics & Space Science Institute
"boettcher, t.",Kavli Astrophysics & Space Science Institute
"craik, d. c.",Kavli Astrophysics & Space Science Institute
"weisser, c.",Kavli Astrophysics & Space Science Institute
"williams, m.",Kavli Astrophysics & Space Science Institute
"christoff-tempesta, ty",Material Science & Engineering Department
"ortony, julia h.",Material Science & Engineering Department
"lew, andrew j.",Chemical Department
"zhou, bolei",Computer Science & Artificial Intelligence Lab
"khosla, aditya",Computer Science & Artificial Intelligence Lab
"oliva, aude",Computer Science & Artificial Intelligence Lab
"torralba, antonio",Computer Science & Artificial Intelligence Lab
"leung, sofia",Comparative Media Studies Department
"liu, xin",Media Lab
"liu, xin",Media Lab
"kan, viirj",Media Lab
"barry, nick",Media Lab
"maes, pattie",Media Lab
"paradiso, joseph a.",Media Lab
"weiss, ron",Biological Engineering Department
"weiss, ron",Electrical Engineering & Computer Science Department
"torrey, paul",Kavli Astrophysics & Space Science Institute
"vogelsberger, mark",Kavli Astrophysics & Space Science Institute
"marinacci, federico",Kavli Astrophysics & Space Science Institute
"torrey, paul",Kavli Astrophysics & Space Science Institute
"vogelsberger, mark",Kavli Astrophysics & Space Science Institute
"mckinnon, ryan",Kavli Astrophysics & Space Science Institute
"marinacci, federico",Kavli Astrophysics & Space Science Institute
"simcoe, r. a.",Kavli Astrophysics & Space Science Institute
"wang, minghui",Chemical Engineering Department
"ye, ruquan",Chemical Engineering Department
"jin, kyoungsuk",Chemical Engineering Department
"lazouski, nikifar",Chemical Engineering Department
"manthiram, karthish",Chemical Engineering Department
"lignos, ioannis",Chemical Engineering Department
"hua, stephane",Ragon Institute
"yu, xu g.",Ragon Institute
"tsurimaki, yoichiro",Mechanical Engineering Department
"ni, george",Mechanical Engineering Department
"chen, gang",Mechanical Engineering Department
"boriskina, svetlana v.",Mechanical Engineering Department
"martin-gonzalez, marisol",Mechanical Engineering Department
"choi, seon-jin",Chemical Department
"anderson, eric m.",Chemical Department
"stone, michael l.",Chemical Department
"hulsey, max j.",Chemical Department
"roman-leshkov, yuriy",Chemical Department
"gerszten, robert e.",Broad Institute
"acemoglu, daron",Economics Department
"stokes, jonathan m.",Biological Engineering Department
"stokes, jonathan m.",Synthetic Biological Center
"stokes, jonathan m.",Broad Institute
"taamallah, s.",Mechanical Engineering Department
"vogiatzaki, k.",Mechanical Engineering Department
"ghoniem, a. f.",Mechanical Engineering Department
"welsch, roy e.",Mechanical Engineering Department
"bains, william",Mechanical Engineering Department
"frebel, anna",Physical Department
"frebel, anna",Kavli Astrophysics & Space Science Institute
"frebel, anna",Physical Department
"frebel, anna",Kavli Astrophysics & Space Science Institute
"alarcin, emine",Division Health Science & Technology
"lee, tae yong",Division Health Science & Technology
"karuthedom, sobha",Division Health Science & Technology
"mohammadi, marzieh",Division Health Science & Technology
"brennan, meadhbh a.",Division Health Science & Technology
"lee, dong hoon",Division Health Science & Technology
"marrella, alessandra",Division Health Science & Technology
"zhang, jin",Division Health Science & Technology
"syla, denata",Division Health Science & Technology
"zhang, yu shrike",Division Health Science & Technology
"khademhosseini, ali",Division Health Science & Technology
"jang, hae lin",Division Health Science & Technology
"khademhosseini, ali",Minimally Invasive Therapeutics Lab
"avella-medina, marco",Minimally Invasive Therapeutics Lab
"parra-saldivar, roberto",Microsystems Technology Labs
"parra-saldivar, roberto",Health Science & Technology Division
"kumar, amit",Chemical Engineering Department
"stephanopoulos, gregory",Chemical Engineering Department
"lawrence, michael s.",Broad Institute
"langenbucher, adam",Broad Institute
"moghanian, amirhossein",Health Science & Technology Division
"jenkins, neil t.",Material Science & Engineering Department
"scott, kathleen e.",Division Comparative Medicine
"frydman, galit",Division Comparative Medicine
"fox, james g.",Division Comparative Medicine
"bakthavatchalu, vasudevan",Division Comparative Medicine
"bathe, klaus-jurgen",Mechanical Engineering Department
"kliemann, dorit",Mcgovern Institute Brain Research Center
"gabrieli, john d. e.",Mcgovern Institute Brain Research Center
"richardson, hilary",Brain & Cognitive Science Department
"anzellotti, stefano",Brain & Cognitive Science Department
"ayyash, dima",Brain & Cognitive Science Department
"haskins, amanda j.",Brain & Cognitive Science Department
"saxe, rebecca",Brain & Cognitive Science Department
"natarajan, pradeep",Broad Institute
"merino, jordi",Broad Institute
"merino, jordi",Broad Institute
"stevens, beth",Broad Institute
"collin, guusje",Brain & Cognitive Science Department
"wang, eric",Biological Department
"housman, david e.",Biological Department
"ni, george",Mechanical Engineering Department
"zandavi, seyed hadi",Mechanical Engineering Department
"boriskina, svetlana v.",Mechanical Engineering Department
"cooper, thomas a.",Mechanical Engineering Department
"chen, gang",Mechanical Engineering Department
"sterman, john",Mechanical Engineering Department
"ben-akiva, moshe e.",Civil & Environmental Engineering Department
"virk, preetinder s.",Chemical Engineering Department
"miller, douglas e.",Earth Researchources Lab
"cael, b. b.",Earth Researchources Lab
"follett, christopher l.",Earth Researchources Lab
"kaiser, david",Earth Researchources Lab
"kaiser, david",Physical Department
"kuan, jiun-yih",Media Lab
"pasch, kenneth a.",Media Lab
"herr, hugh m.",Media Lab
"huang, keman",Media Lab
"schaub, samuel c.",Plasma Science & Fusion Center
"guss, william c.",Plasma Science & Fusion Center
"rosenzweig, g.",Plasma Science & Fusion Center
"temkin, richard j.",Plasma Science & Fusion Center
"kong, linghang",Theoretical Physical Lab
"zhang, jie",Brain & Cognitive Science Department
"chin, sang peter",Brain & Cognitive Science Department
"celi, leo a.",Medicine Engineering & Science Institute
"tancogne-dejean, thomas",Mechanical Engineering Department
"newman, john n.",Mechanical Engineering Department
"schuh, christopher a.",Material Science & Engineering Department
"tuncer, nihan",Material Science & Engineering Department
"gibson, michael a.",Material Science & Engineering Department
"chiang, yet-ming",Material Science & Engineering Department
"barbati, alexander c.",Mechanical Engineering Department
"hart, a. john",Mechanical Engineering Department
"sachs, emanuel m.",Mechanical Engineering Department
"ling, fangqiong",Biological Engineering Department
"bruneau, emile",Brain & Cognitive Science Department
"leroux, michele",Biological Department
"xavier, ramnik j.",Broad Institute
"verdelhan, adrien",Broad Institute
"rhodes-kropf, matthew",Broad Institute
"betz, oliver b.",Chemical Engineering Department
"soreq, yotam",Theoretical Physical Lab
"williams, mike",Nuclear Science Lab
"wilson, michael t.",Urban Studies & Planning Department
"acemoglu, daron",Urban Studies & Planning Department
"gloor, peter a.",Collective Intelligence Lab
"ofori-okai, b. k.",Chemical Department
"arelekatti, v. n. murthy",Mechanical Engineering Department
"winter, amos g., v",Mechanical Engineering Department
"liu, john",Mechanical Engineering Department
"wortman, tyler d.",Mechanical Engineering Department
"slocum, alexander h.",Mechanical Engineering Department
"straub, anthony",Material Science & Engineering Department
"warsinger, david m.",Mechanical Engineering Department
"swaminathan, jaichander",Mechanical Engineering Department
"morales, lucien l.",Mechanical Engineering Department
"lienhard, john h.",Mechanical Engineering Department
"rui, zhenhua",Mechanical Engineering Department
"angeletos, george-marios",Mechanical Engineering Department
"mao, yunwei",Mechanical Engineering Department
"anand, lallit",Mechanical Engineering Department
"qinn, zhao",Civil & Environmental Engineering Department
"buehler, markus j.",Civil & Environmental Engineering Department
"qinn, zhao",Computational Engineering Lab
"buehler, markus j.",Computational Engineering Lab
"byambaa, batzaya",Health Science & Technology Division
"hosseinloo, ashkan haji",Mechanical Engineering Department
"slotine, jean-jacques",Mechanical Engineering Department
"turitsyn, konstantin",Mechanical Engineering Department
"slotine, jean-jacques",Brain & Cognitive Science Department
"rehm, heidi l.",Broad Institute
"green, robert c.",Broad Institute
"degraff, michel",Broad Institute
"stump, glenda s.",Broad Institute
"degraff, michel",Broad Institute
"stump, glenda s.",Broad Institute
"collins, james r.",Broad Institute
"abouelleil, a.",Broad Institute
"cuomo, christina a.",Broad Institute
"munoz, j. f.",Broad Institute
"clevenson, hannah",Lincoln Lab
"braje, danielle",Lincoln Lab
"clevenson, hannah",Electrical Engineering & Computer Science Department
"englund, dirk r.",Electrical Engineering & Computer Science Department
"gupta, namrata",Broad Institute
"neve, rachael l.",Brain & Cognitive Science Department
"torrey, paul",Kavli Astrophysics & Space Science Institute
"vogelsberger, mark",Kavli Astrophysics & Space Science Institute
"marinacci, federico",Kavli Astrophysics & Space Science Institute
"torrey, paul",Physical Department
"vogelsberger, mark",Physical Department
"marinacci, federico",Physical Department
"zhou, jiawei",Mechanical Engineering Department
"chen, gang",Mechanical Engineering Department
"li, hanqing",Microsystems Technology Labs
"song, bai",Mechanical Engineering Department
"roche, e.",Medicine Engineering & Science Institute
"varela, claudia e.",Medicine Engineering & Science Institute
"roche, ellen t.",Mechanical Engineering Department
"islam, shahrin",Mechanical Engineering Department
"roche, ellen t.",Mechanical Engineering Department
"varela, claudia e.",Mechanical Engineering Department
"collins, james j.",Medicine Engineering & Science Institute
"collins, james j.",Synthetic Biological Center
"collins, james j.",Biological Engineering Department
"collins, james j.",Broad Institute
