paper,title,author,affiliation,cite,year
2710,A comprehensive thermal-hydraulic assessment of solar flat-plate air heaters,"Qasem, Naef A. A.",Aerospace Engineering Department,1,2020
2843,Humidification-dehumidification desalination systems driven by thermal-based renewable and low-grade energy sources: A critical review,"Qasem, Naef A. A.",Aerospace Engineering Department,4,2020
2894,Thermal design and management towards high capacity CO2 adsorption systems,"Qasem, Naef A. A.",Aerospace Engineering Department,1,2020
2904,Aircraft turbines time-to-failures process modeling using RBF NN,"Al-Garni, Ahmed",Aerospace Engineering Department,0,2020
2904,Aircraft turbines time-to-failures process modeling using RBF NN,"Abdelrahman, Wael",Aerospace Engineering Department,0,2020
2904,Aircraft turbines time-to-failures process modeling using RBF NN,"Abdallah, Ayman",Aerospace Engineering Department,0,2020
3029,Effect of material transverse distribution profile on buckling of thick functionally graded material plates according to TSDT,"Abdelrahman, Wael",Aerospace Engineering Department,0,2020
3112,Novel and efficient integration of a humidification-dehumidification desalination system with an absorption refrigeration system,"Qasem, Naef A. A.",Aerospace Engineering Department,3,2020
3112,Novel and efficient integration of a humidification-dehumidification desalination system with an absorption refrigeration system,"Abdallah, Ayman",Aerospace Engineering Department,3,2020
3300,Darcy's model with optimized permeability distribution for the simulation of stokes flow and contaminant transport in karst aquifers,Ahmad Jamal,Aerospace Engineering Department,0,2020
3377,The impact of thermodynamic potentials on the design of electrodialysis desalination plants,"Qasem, Naef A. A.",Aerospace Engineering Department,2,2020
3507,Robust Intelligent Self-Tuning Active Force Control of a Quadrotor With Improved Body Jerk Performance,"Abdallah, Ayman",Aerospace Engineering Department,0,2020
2104,Enhancing CO(2)Adsorption Capacity and Cycling Stability of Mg-MOF-74,"Qasem, Naef A. A.",Aerospace Engineering Department,0,2020
1648,A modified perturbation solution to the one-dimensional Bratu problem,"Ghazy, Mohammed",Aerospace Engineering Department,1,2019
212,Analytical and numerical investigations of the collapse of blood vessels with nonlinear wall material embedded in nonlinear soft tissues,"Ghazy, Mohammed",Aerospace Engineering Department,2,2018
4132,Effect of Piezoelectric Patch Size and Material on Active Vibration Control of Wind Turbine Blades,"Abdelrahman, Wael",Aerospace Engineering Department,1,2018
4132,Effect of Piezoelectric Patch Size and Material on Active Vibration Control of Wind Turbine Blades,"Al-Garni, Ahmed",Aerospace Engineering Department,1,2018
4132,Effect of Piezoelectric Patch Size and Material on Active Vibration Control of Wind Turbine Blades,"Abdallah, Ayman",Aerospace Engineering Department,1,2018
4300,A closed-form analytical model for predicting 3D boundary layer displacement thickness for the validation of viscous flow solvers,"Nejaamtheen, Mohammed Niyasdeen",Aerospace Engineering Department,3,2018
804,MISO Control System for Noise Reduction in 3-D Enclosures Using PZT Actuators,"Abdelrahman, Wael",Aerospace Engineering Department,0,2019
804,MISO Control System for Noise Reduction in 3-D Enclosures Using PZT Actuators,"Al-Garni, Ahmed",Aerospace Engineering Department,0,2019
3415,Static Analysis of Thick Functionally Graded Plates with Different Property Distribution Functions,"Abdelrahman, Wael",Aerospace Engineering Department,0,2020
3520,The Impact of Social Media Marketing on Brand Trust and Brand Loyalty: An Arab Perspective,Ibrahim Mustafa Mehedi,Aerospace Engineering Department,1,2020
2458,The Influence of Social Media Marketing on Consumers' Purchase Decision: Investigating the Effects of Local and Nonlocal Brands,Ibrahim Mustafa Mehedi,Aerospace Engineering Department,0,2020
804,MISO Control System for Noise Reduction in 3-D Enclosures Using PZT Actuators,"Hamid, M. D. Tarique",Aerospace Engineering Department,0,2019
2527,Review and assessment of the causes of deficiencies in design documents for large construction projects,"Hassanain, Mohammad A.",Architectural Engineering Department,4,2018
2535,Factors affecting operation and maintenance cost of hotels,"Ihsan, Bakhter",Architectural Engineering Department,0,2018
2535,Factors affecting operation and maintenance cost of hotels,"Alshibani, Adel",Architectural Engineering Department,0,2018
2540,A code-compliance framework for fire safety in student housing facilities,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2018
2540,A code-compliance framework for fire safety in student housing facilities,"Garkuwa, Jamilu A.",Architectural Engineering Department,1,2018
2600,Factors affecting building services' coordination during the design development and review stages,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2018
2600,Factors affecting building services' coordination during the design development and review stages,"Salami, Babatunde A.",Architectural Engineering Department,1,2018
2600,Factors affecting building services' coordination during the design development and review stages,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,1,2018
3697,HEALTH AND SAFETY PERCEPTION OF CONSTRUCTION WORKERS IN SAUDI ARABIA,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2018
3717,Assessment of thermal comfort in high-occupancy spaces with relevance to air distribution schemes: A case study of mosques,"Ismail, Budaiwi",Architectural Engineering Department,5,2018
3833,Prospects of PV application in unregulated building rooftops in developing countries: A perspective from Saudi Arabia,"Dehwah, Ammar H. A.",Architectural Engineering Department,19,2018
3833,Prospects of PV application in unregulated building rooftops in developing countries: A perspective from Saudi Arabia,"Asif, Mohammad",Architectural Engineering Department,19,2018
3868,Critical Factors behind Construction Delay in Petrochemical Projects in Saudi Arabia,"Alshibani, Adel",Architectural Engineering Department,2,2018
3949,Analytic Hierarchy Process & Multi Attribute Utility Theory Based Approach for the Selection of Lighting Systems in Residential Buildings: A Case Study,"Alshibani, Adel",Architectural Engineering Department,6,2018
3990,Households energy conservation in Saudi Arabia: Lessons learnt from change-agents driven interventions program,"Asif, Mohammad",Architectural Engineering Department,9,2018
4194,"Airtightness of electrical, mechanical and architectural components in South Korean apartment buildings using the fan pressurization and tracer gas method","Kim, Daeung Danny",Architectural Engineering Department,4,2018
4277,Weighted Evaluation Method for Corporate Real Estate Site Selection in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2018
4277,Weighted Evaluation Method for Corporate Real Estate Site Selection in Saudi Arabia,"Hamwda, Mahmoud",Architectural Engineering Department,0,2018
4446,Sustainability Assessment of Enhanced Glazing Compositions of Commercial Buildings in Hot-Humid Climates,"Dehwah, Ammar H. A.",Architectural Engineering Department,0,2018
4446,Sustainability Assessment of Enhanced Glazing Compositions of Commercial Buildings in Hot-Humid Climates,"Asif, Mohammad",Architectural Engineering Department,0,2018
4578,Adoption and implementation of BIM - case study of a Saudi Arabian AEC firm,"Almuntaser, Taqiadden",Architectural Engineering Department,7,2018
4578,Adoption and implementation of BIM - case study of a Saudi Arabian AEC firm,"Hassanain, Mohammad A.",Architectural Engineering Department,7,2018
4634,An evaluation of the functional performance of research and academic laboratories using the space syntax approach,"Hassanain, Mohammad A.",Architectural Engineering Department,2,2018
4634,An evaluation of the functional performance of research and academic laboratories using the space syntax approach,"Ahmed, Wahhaj",Architectural Engineering Department,2,2018
4640,Estimating facilities maintenance cost using post-occupancy evaluation and fuzzy set theory,"Alshibani, Adel",Architectural Engineering Department,0,2018
4640,Estimating facilities maintenance cost using post-occupancy evaluation and fuzzy set theory,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2018
4665,Post occupancy evaluation of a flexible workplace facility in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,3,2018
4665,Post occupancy evaluation of a flexible workplace facility in Saudi Arabia,"Alnuaimi, Ali K.",Architectural Engineering Department,3,2018
135,Diffraction of a spherical wave by a hard half-plane: Approximation of the edge field in the frequency domain,"Ouis, Djamel",Architectural Engineering Department,0,2019
176,Energy performance assessment towards nearly zero energy community buildings in South Korea,"Kim, Daeung Danny",Architectural Engineering Department,9,2019
587,Analytical determination of sulfate ions and its attack impact on concrete structures,"Abd El Fattah, Ahmed",Architectural Engineering Department,0,2019
623,"Interdisciplinary design checklists for mechanical, electrical and plumbing coordination in building projects","Hassanain, Mohammad A.",Architectural Engineering Department,0,2019
623,"Interdisciplinary design checklists for mechanical, electrical and plumbing coordination in building projects","Aljuhani, Mohammad",Architectural Engineering Department,0,2019
756,Factors Affecting Contractors' Bidding Decisions for Construction Projects in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,3,2019
757,Time and Cost Overrun in the Saudi Arabian Oil and Gas Construction Industry,"Hassanain, Mohammad A.",Architectural Engineering Department,6,2019
812,Assessment of net energy contribution to buildings by rooftop photovoltaic systems in hot-humid climates,"Dehwah, Ammar H. A.",Architectural Engineering Department,5,2019
812,Assessment of net energy contribution to buildings by rooftop photovoltaic systems in hot-humid climates,"Asif, Mohammad",Architectural Engineering Department,5,2019
957,A risk assessment approach for enhancing construction safety performance,"Hassanain, Mohammad A.",Architectural Engineering Department,7,2019
1144,Energy performance assessment of HVAC commissioning using long-term monitoring data: A case study of the newly built office building in South Korea,"Kim, Daeung Danny",Architectural Engineering Department,4,2019
1207,Significant causes of claims and disputes in construction projects in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,2,2019
1224,Application of Building Performance Simulation to Design Energy-Efficient Homes: Case Study from Saudi Arabia,"Ahmed, Wahhaj",Architectural Engineering Department,3,2019
1224,Application of Building Performance Simulation to Design Energy-Efficient Homes: Case Study from Saudi Arabia,"Asif, Mohammad",Architectural Engineering Department,3,2019
1323,Assessment of factors affecting maintenance cost of public school facilities,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2019
1323,Assessment of factors affecting maintenance cost of public school facilities,"Alzahrani, Ahmed",Architectural Engineering Department,0,2019
1324,Investigation of facilities management practices for providing feedback during the design development and review stages,"Hassanain, Mohammad A.",Architectural Engineering Department,3,2019
1324,Investigation of facilities management practices for providing feedback during the design development and review stages,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,3,2019
1400,A simplified approach to predict temperature distributions in a mechanically ventilated atrium using a thermal response factor method,"Kim, Daeung Danny",Architectural Engineering Department,1,2019
1483,Adopting the industrialised building system in Saudi Arabia: barriers and enablers,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2019
1674,Assessment of the consequences of deficiencies in design documents in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,2,2019
1765,Characteristics of cooking-generated PM10 and PM2.5 in residential buildings with different cooking and ventilation types,"Kim, Daeung Danny",Architectural Engineering Department,11,2019
1787,FIRE SAFETY IN THE BUILT-ENVIRONMENT: A CASE STUDY IN A RESIDENTIAL FACILITY,"Hamida, Mohammad B.",Architectural Engineering Department,0,2019
1787,FIRE SAFETY IN THE BUILT-ENVIRONMENT: A CASE STUDY IN A RESIDENTIAL FACILITY,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2019
1846,Modeling Knowledge for MEP Coordination in Building Projects in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2019
1846,Modeling Knowledge for MEP Coordination in Building Projects in Saudi Arabia,"Salami, Babatunde A.",Architectural Engineering Department,1,2019
1846,Modeling Knowledge for MEP Coordination in Building Projects in Saudi Arabia,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,1,2019
1993,Water Efficiency and Management in Sustainable Building Rating Systems: Examining Variation in Criteria Usage,"Asif, Mohammad",Architectural Engineering Department,0,2019
1316,Design guidelines for the functional efficiency of laboratory facilities,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2020
1316,Design guidelines for the functional efficiency of laboratory facilities,"Hamida, Mohammad B.",Architectural Engineering Department,1,2020
2009,BIM-based techno-economic assessment of energy retrofitting residential buildings in hot humid climate,"Ahmed, Wahhaj",Architectural Engineering Department,0,2020
2009,BIM-based techno-economic assessment of energy retrofitting residential buildings in hot humid climate,"Asif, Mohammad",Architectural Engineering Department,0,2020
2217,Evaluation of Daylight and Cooling Performance of Shading Devices in Residential Buildings in South Korea,"Kim, Daeung Danny",Architectural Engineering Department,0,2020
2397,Heating Performance Analysis of an Air-to-Water Heat Pump Using Underground Air for Greenhouse Farming,"Kim, Daeung Danny",Architectural Engineering Department,0,2020
2442,Review and assessment of factors affecting the workplace relocation process,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
2442,Review and assessment of factors affecting the workplace relocation process,"Khan, Ibrahim",Architectural Engineering Department,0,2020
2442,Review and assessment of factors affecting the workplace relocation process,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,0,2020
2459,Critical success factors for large building construction projects Perception of consultants and contractors,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2020
2991,"Psychosocial perception of the effects of harmattan dust on the environment and health of building occupants in Maiduguri, Nigeria",Mohammed Alhaji Mohammed,Architectural Engineering Department,0,2020
3179,Drivers of e-bidding implementation in the Saudi Arabian construction industry,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
3216,POST OCCUPANCY EVALUATION OF ADAPTIVELY REUSED BUILDINGS: CASE STUDY OF AN OFFICE BUILDING IN SAUDI ARABIA,"Hamida, Mohammad B.",Architectural Engineering Department,1,2020
3216,POST OCCUPANCY EVALUATION OF ADAPTIVELY REUSED BUILDINGS: CASE STUDY OF AN OFFICE BUILDING IN SAUDI ARABIA,"Hassanain, Mohammad A.",Architectural Engineering Department,1,2020
3455,Barriers to the implementation of POE practices in the Saudi Arabian building industry,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
3455,Barriers to the implementation of POE practices in the Saudi Arabian building industry,"Alamoudi, Abdullah",Architectural Engineering Department,0,2020
3455,Barriers to the implementation of POE practices in the Saudi Arabian building industry,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,0,2020
3455,Barriers to the implementation of POE practices in the Saudi Arabian building industry,"Abdallah, Abdullatif",Architectural Engineering Department,0,2020
3547,POST-OCCUPANCY EVALUATION OF A UNIVERSITY SHOPPING MALL FACILITY,"Ahmed, Wahhaj",Architectural Engineering Department,0,2020
3547,POST-OCCUPANCY EVALUATION OF A UNIVERSITY SHOPPING MALL FACILITY,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
3612,Assessment of a Real-Time Prediction Method for High Clothing Thermal Insulation Using a Thermoregulation Model and an Infrared Camera,"Kim, Daeung Danny",Architectural Engineering Department,2,2020
2172,Review and assessment of factors affecting adaptive reuse of commercial projects in Saudi Arabia,"Hamida, Mohammad B.",Architectural Engineering Department,0,2020
2172,Review and assessment of factors affecting adaptive reuse of commercial projects in Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
2172,Review and assessment of factors affecting adaptive reuse of commercial projects in Saudi Arabia,"Al-Hammad, Abdul-Mohsen",Architectural Engineering Department,0,2020
2305,A framework for modeling the knowledge of workplace relocation,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
2305,A framework for modeling the knowledge of workplace relocation,"Khan, Ibrahim",Architectural Engineering Department,0,2020
2317,Computational fluid dynamics assessment for the thermal performance of double-skin facades in office buildings under hot climatic condition,"Kim, Daeung Danny",Architectural Engineering Department,0,2020
2493,Quality assessment of a campus medical facility: a users' perspective approach,"Hassanain, Mohammad A.",Architectural Engineering Department,0,2020
2493,Quality assessment of a campus medical facility: a users' perspective approach,"Dehwah, Ammar H. A.",Architectural Engineering Department,0,2020
2493,Quality assessment of a campus medical facility: a users' perspective approach,"Ahmed, Wahhaj",Architectural Engineering Department,0,2020
122,Shape-dependent activity of anisotropic Ag nanostructures supported on TiO2 for the photoelectrocatalytic water oxidation,"Asif, Mohammad",Architectural Engineering Department,0,2019
569,Techno-economic assessment of application of solar PV in building sector A case study from Saudi Arabia,"Asif, Mohammad",Architectural Engineering Department,5,2019
569,Techno-economic assessment of application of solar PV in building sector A case study from Saudi Arabia,"Hassanain, Mohammad A.",Architectural Engineering Department,5,2019
1982,Key performance indicators for the evaluation of academic and research laboratory facilities,"Hassanain, Mohammad A.",Architectural Engineering Department,3,2019
1982,Key performance indicators for the evaluation of academic and research laboratory facilities,"Ahmed, Wahhaj",Architectural Engineering Department,3,2019
206,Solar and Shading Potential of Different Configurations of Building Integrated Photovoltaics Used as Shading Devices Considering Hot Climatic Conditions,"Asfour, Omar S.",Architecture Department,3,2018
391,New axial Stress-Strain model of square concrete columns confined with lateral steel and FRP,"Abd El Fattah, Ahmed",Architecture Department,8,2018
625,Examining indicators coverage in a sample of sustainable building assessment systems,"Al-Qawasmi, Jamal",Architecture Department,1,2019
803,Exploring indicators coverage practices in measuring urban quality of life,"Al-Qawasmi, Jamal",Architecture Department,0,2019
1624,Learning from the past: Temporary housing criteria in conflict areas with reference to thermal comfort,"Asfour, Omar S.",Architecture Department,0,2019
1993,Water Efficiency and Management in Sustainable Building Rating Systems: Examining Variation in Criteria Usage,"Al-Qawasmi, Jamal",Architecture Department,0,2019
1993,Water Efficiency and Management in Sustainable Building Rating Systems: Examining Variation in Criteria Usage,"Abd El Fattah, Ahmed",Architecture Department,0,2019
1993,Water Efficiency and Management in Sustainable Building Rating Systems: Examining Variation in Criteria Usage,"Babsail, Mohammad O.",Architecture Department,0,2019
2707,A comparison between the daylighting and energy performance of courtyard and atrium buildings considering the hot climate of Saudi Arabia,"Asfour, Omar S.",Architecture Department,1,2020
3212,Field Validation of Concrete Transport Property Measurement Methods,"Abd El Fattah, Ahmed",Architecture Department,0,2020
3481,A Conceptual Framework Outlining Factors Affecting the Acceptance of Earth as a Sustainable Building Material in the United Kingdom,"Zami, Mohammad Sharif",Architecture Department,0,2020
3536,WORKING MEMORY: AN EVALUATION OF THE PAST IN THE DESIGN PROCESS,Nicola Delledonne,Architecture Department,0,2020
2040,Enablers supporting acceptance of earth-based material in UK urban housing sector,"Zami, Mohammad Sharif",Architecture Department,0,2020
392,Passive dry fiber confinement for reinforced concrete stub columns,"Abd El Fattah, Ahmed",Architecture Department,1,2018
4187,Field evaluation of corrosion mitigation on reinforced concrete in marine exposure conditions,"Abd El Fattah, Ahmed",Architecture Department,10,2018
382,Integrated liquid fuel based chemical looping combustion - parametric study for efficient power generation and CO2 capture,"Hossain, Mohammad M.",Carbon Capture and Sequestration Research Center,4,2018
486,Carbon dioxide adsorption separation from dry and humid CO2/N-2 mixture,"Ben-Mansour, R.",Carbon Capture and Sequestration Research Center,11,2018
486,Carbon dioxide adsorption separation from dry and humid CO2/N-2 mixture,"Qasem, Naef A. A.",Carbon Capture and Sequestration Research Center,11,2018
2657,Performance prediction of a two-bed solar adsorption chiller with adaptive cycle time using a MIL-100(Fe)/water working pair - influence of solar collector configuration,"Ben-Mansour, R.",Carbon Capture and Sequestration Research Center,0,2018
1630,Numerical Investigation of Auto-Ignition Characteristics in Microstructured Catalytic Honeycomb Reactor for CH4-Air and CH4-H-2-Air Mixtures,"Nemitallah, Medhat",Carbon Capture and Sequestration Research Center,0,2019
1630,Numerical Investigation of Auto-Ignition Characteristics in Microstructured Catalytic Honeycomb Reactor for CH4-Air and CH4-H-2-Air Mixtures,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,0,2019
2029,Numerical and experimental study of swirl premixed CH4/H-2/O-2/CO2 flames for controlled-emissions gas turbines,"Asif, Mohammad",Carbon Capture and Sequestration Research Center,1,2020
2029,Numerical and experimental study of swirl premixed CH4/H-2/O-2/CO2 flames for controlled-emissions gas turbines,"Nemitallah, Medhat",Carbon Capture and Sequestration Research Center,1,2020
2029,Numerical and experimental study of swirl premixed CH4/H-2/O-2/CO2 flames for controlled-emissions gas turbines,"Abdelhafez, Ahmed",Carbon Capture and Sequestration Research Center,1,2020
2029,Numerical and experimental study of swirl premixed CH4/H-2/O-2/CO2 flames for controlled-emissions gas turbines,"Kamal, M. Mustafa",Carbon Capture and Sequestration Research Center,1,2020
2029,Numerical and experimental study of swirl premixed CH4/H-2/O-2/CO2 flames for controlled-emissions gas turbines,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,1,2020
2167,Review of Fuel/Oxidizer-Flexible Combustion in Gas Turbines,"Haque, Md Azazul",Carbon Capture and Sequestration Research Center,0,2020
2167,Review of Fuel/Oxidizer-Flexible Combustion in Gas Turbines,"Nemitallah, Medhat",Carbon Capture and Sequestration Research Center,0,2020
2167,Review of Fuel/Oxidizer-Flexible Combustion in Gas Turbines,"Abdelhafez, Ahmed",Carbon Capture and Sequestration Research Center,0,2020
2167,Review of Fuel/Oxidizer-Flexible Combustion in Gas Turbines,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,0,2020
2208,CFD modeling of hydrogen separation through Pd-based membrane,"Ben-Mansour, R.",Carbon Capture and Sequestration Research Center,1,2020
2208,CFD modeling of hydrogen separation through Pd-based membrane,"Abuelyamen, Ahmed",Carbon Capture and Sequestration Research Center,1,2020
2208,CFD modeling of hydrogen separation through Pd-based membrane,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,1,2020
2462,Operability of Fuel/Oxidizer-Flexible Combustor Holding Hydrogen-Enriched Partially Premixed Oxy-Flames Stabilized over a Perforated Plate Burner,"Nemitallah, Medhat",Carbon Capture and Sequestration Research Center,0,2020
2462,Operability of Fuel/Oxidizer-Flexible Combustor Holding Hydrogen-Enriched Partially Premixed Oxy-Flames Stabilized over a Perforated Plate Burner,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,0,2020
2894,Thermal design and management towards high capacity CO2 adsorption systems,"Ben-Mansour, R.",Carbon Capture and Sequestration Research Center,1,2020
2894,Thermal design and management towards high capacity CO2 adsorption systems,"Abuelyamen, Ahmed",Carbon Capture and Sequestration Research Center,1,2020
3042,High gas permselectivity in ZIF-302/polyimide self-consistent mixed-matrix membrane,"Khan, M. Faizan",Carbon Capture and Sequestration Research Center,1,2020
3042,High gas permselectivity in ZIF-302/polyimide self-consistent mixed-matrix membrane,"Habib, Mohamed A. M.",Carbon Capture and Sequestration Research Center,1,2020
3042,High gas permselectivity in ZIF-302/polyimide self-consistent mixed-matrix membrane,"Al-Maythalony, Bassem A.",Carbon Capture and Sequestration Research Center,1,2020
3298,Integrated diesel fueled chemical looping combustion for power generation and CO2 capture - Performance evaluation based on exergy analysis,"Hossain, Mohammad M.",Carbon Capture and Sequestration Research Center,0,2020
