paper,title,author,affiliation,cite,year,collabs
64,Layered Fluid Structure and Anomalous Diffusion under Nanoconfinement,"wang, gerald j.",Mechanical Engineering Department,5,2018,0
65,7-Step Flow Synthesis of the HIV Integrase Inhibitor Dolutegravir,"ziegler, robert e.",Chemical Department,36,2018,0
66,Gas-pressure chemical vapor transport growth of millimeter-sized c-BAs single crystals with moderate thermal conductivity,"song, bai",Mechanical Engineering Department,10,2018,1
67,The SS18-SSX Fusion Oncoprotein Hijacks BAF Complex Targeting and Function to Drive Synovial Sarcoma,"mcbride, matthew j.",Broad Institute,56,2018,0
68,"Synthesis of High-Oxidation-State Mo=CHX Complexes, Where X = Cl, CF3, Phosphonium, CN","venkatramani, sudarsan",Chemical Department,4,2018,0
71,Modeling variation coefficient of wave-induced underwater irradiance for clear ocean and its application to find the optimal detector size,"xu, zao",Mechanical Engineering Department,0,2018,0
72,Optical modeling of superconducting nanowire single photon detectors using the transfer matrix method,"sunter, kristen a.",Electrical Research Lab,3,2018,0
76,"Chemical Abundances of New Member Stars in the Tucana II Dwarf Galaxy (vol 857, 74, 2018)","chiti, anirudh",Physical Department,0,2018,1
77,NICER Detects a Soft X-Ray Kilohertz Quasi-periodic Oscillation in 4U 0614+09,"chakrabarty, deepto",Kavli Astrophysics & Space Science Institute,4,2018,0
78,Overcoming safety challenges in CO therapy - Extracorporeal CO delivery under precise feedback control of systemic carboxyhemoglobin levels,"steiger, christoph",Koch Institute Integrative Cancer Research,11,2018,0
79,Method for determining damping properties of materials using a suspended mechanical oscillator,"biscans, s.",Koch Institute Integrative Cancer Research,1,2018,0
80,"Endovascular ultrasound renal denervation to treat hypertension (RADIANCE-HTN SOLO): a multicentre, international, single-blind, randomised, sham-controlled trial","mahfoud, f.",Medicine Engineering & Science Institute,180,2018,0
82,Effect of renal denervation on blood pressure in the presence of antihypertensive drugs: 6-month efficacy and safety results from the SPYRAL HTN-ON MED proof-of-concept randomised trial,"mahfoud, f.",Medicine Engineering & Science Institute,221,2018,0
83,"Organic matter preserved in 3-billion-year-old mudstones at Gale crater, Mars","summons, roger e.",Earth Atmospheric & Planetary Science Department,125,2018,0
84,On a Conjecture Regarding Permutations which Destroy Arithmetic Progressions,"sawhney, mehtaab",Earth Atmospheric & Planetary Science Department,0,2018,0
85,Artificial Anti-Tumor Opsonizing Proteins with Fibronectin Scaffolds Engineered for Specificity to Each of the Murine Fc gamma R Types,"chen, tiffany f.",Biological Engineering Department,3,2018,2
86,Optofluidic Single-Cell Genome Amplification of Sub-micron Bacteria in the Ocean Subsurface,"blainey, paul c.",Broad Institute,5,2018,0
87,Internal waves in sheared flows: Lower bound of the vorticity growth and propagation discontinuities in the parameter space,"staffilani, gigliola",Mathematics Department,9,2018,0
88,"Purification of High Salinity Brine by Multi-Stage Ion Concentration Polarization Desalination (vol 8, 2016)",van sang pham,Electrical Engineering & Computer Science Department,0,2018,0
89,Applied Informatics Decision Support Tool for Mortality Predictions in Patients With Cancer,"bertsimas, dimitris",Electrical Engineering & Computer Science Department,8,2018,0
90,Peptide Design Enables Reengineering of an Inactive Wasp Venom Peptide into Synthetic Antiplasmodial Agents,"torres, marcelo d. t.",Biological Engineering Department,5,2018,2
92,Anomalous Phonon Modes in Black Phosphorus Revealed by Resonant Raman Scattering,"mao, nannan",Electrical Engineering & Computer Science Department,10,2018,0
93,Half-Cell Ion Concentration Polarization on Nafion-Coated Electrode,"han, jongyoon",Electrical Engineering & Computer Science Department,5,2018,2
94,Large-scale patterning of living colloids for dynamic studies of neutrophil-microbe interactions,"kim, jae jung",Chemical Engineering Department,3,2018,0
95,"Sequence, Structure, and Context Preferences of Human RNA Binding Proteins","dominguez, daniel",Biological Department,104,2018,1
96,Global Analysis of the E. coli Toxin MazF Reveals Widespread Cleavage of mRNA and the Inhibition of rRNA Maturation and Ribosome Biogenesis,"culviner, peter h.",Biological Department,38,2018,1
97,Protecting solid-state spins from a strongly coupled environment,"chen, mo",Electrical Research Lab,4,2018,2
98,Optimal Control for One-Qubit Quantum Sensing,"cappellaro, paola",Nuclear Science & Engineering Department,13,2018,0
99,Risks and Recommendations in Prenatally Detected De Novo Balanced Chromosomal Rearrangements from Assessment of Long-Term Outcomes,"collins, ryan l.",Broad Institute,14,2018,0
100,Thermal diffusivity determination using heterodyne phase insensitive transient grating spectroscopy,"dennett, cody a.",Nuclear Science & Engineering Department,5,2018,0
102,Black Hole Scrambling from Hydrodynamics,"grozdanov, saso",Theoretical Physical Lab,34,2018,0
103,Myth and Measurement - The Case of Medical Bankruptcies REPLY,"finkelstein, amy",Theoretical Physical Lab,0,2018,0
104,Development of Molecularly Imprinted Polymers To Block Quorum Sensing and Inhibit Bacterial Biofilm Formation,"de la fuente-nunez, cesar",Synthetic Biological Center,20,2018,4
105,Highly Stretchable and Transparent Thermistor Based on Self-Healing Double Network Hydrogel,"norford, leslie",Architecture Department,60,2018,0
106,Patient-Specific Bioinks for 3D Bioprinting of Tissue Engineering Scaffolds,"faramarzi, negar",Health Science & Technology Division,46,2018,0
107,On the representation of aerosol activation and its influence on model-derived estimates of the aerosol indirect effect,"rothenberg, daniel",Global Change Science Lab,9,2018,0
108,History of chemically and radiatively important atmospheric gases from the Advanced Global Atmospheric Gases Experiment (AGAGE),"prinn, ronald g.",Global Change Science Lab,44,2018,0
109,Sensitive singular-phase optical detection without phase measurements with Tamm plasmons,"boriskina, svetlana v.",Mechanical Engineering Department,10,2018,0
110,Biochemical and Structural Characterization of a Schiff Base in the Radical-Mediated Biosynthesis of 4-Demethylwyosine by TYW1,"grell, tsehai a. j.",Chemical Department,1,2018,2
111,Activation of Methyltrioxorhenium for Olefin Metathesis in a Zirconium-Based Metal-Organic Framework,"korzynski, maciej d.",Chemical Department,18,2018,1
112,Revealing and Rationalizing the Rich Polytypism of Todorokite MnO2,"kitchaev, daniil a.",Material Science & Engineering Department,11,2018,0
113,Flexible Sensorimotor Computations through Rapid Reconfiguration of Cortical Dynamics,"remington, evan d.",Mcgovern Institute Brain Research Center,47,2018,1
114,Glucose challenge metabolomics implicates medium-chain acylcarnitines in insulin resistance,"ganna, andrea",Broad Institute,16,2018,0
115,Hippocampal 5-HT Input Regulates Memory Formation and Schaffer Collateral Excitation,"rosen, zev b.",Brain & Cognitive Science Department,22,2018,0
116,Modeling Study of High Temperature Pyrolysis of Natural Gas,"gudiyella, soumya",Brain & Cognitive Science Department,5,2018,0
118,Dissociating neural markers of stimulus memorability and subjective recognition during episodic retrieval,"bainbridge, wilma a.",Brain & Cognitive Science Department,6,2018,0
119,Preparation of Lipid-Stripped Serum for the Study of Lipid Metabolism in Cell Culture,"hosios, aaron m.",Koch Institute Integrative Cancer Research,1,2018,1
120,Harnessing single-cell genomics to improve the physiological fidelity of organoid-derived cell types,"mead, benjamin e.",Division Health Science & Technology,11,2018,9
122,Gold nanorods@metal-organic framework core-shell nanostructure as contrast agent for photoacoustic imaging and its biocompatibility,"hu, jie",Electrical Engineering & Computer Science Department,20,2018,0
125,In vivo base editing of post-mitotic sensory cells,"yeh, wei-hsi",Broad Institute,68,2018,0
126,First Result on the Neutrinoless Double-beta Decay of Se-82 with CUPID-0,"cardani, l.",Broad Institute,53,2018,0
127,"Sulfur monoxide thermal release from an anthracene-based precursor, spectroscopic identification, and transfer reactivity","joost, maximilian",Chemical Department,8,2018,0
128,Electrochemical trapping of metastable Mn3+ ions for activation of MnO2 oxygen evolution catalysts,"kitchaev, daniil a.",Material Science & Engineering Department,65,2018,0
129,Survival and independence after intracerebral hemorrhage Trends and opportunities,"anderson, christopher d.",Broad Institute,1,2018,0
130,Field studies of psychologically targeted ads face threats to internal validity,"eckles, dean",Broad Institute,7,2018,1
131,Robustness and universality of surface states in Dirac materials,"shtanko, oles",Physical Department,3,2018,0
132,Xenoprotein engineering via synthetic libraries,"gates, z. p.",Chemical Department,13,2018,0
133,Stabilized single-injection inactivated polio vaccine elicits a strong neutralizing immune response,"tzeng, stephany y.",David H Koch Institute Integrative Cancer Research,16,2018,0
134,Long-distance effects in B -> K*ll from analyticity,"virto, javier",Theoretical Physical Lab,27,2018,0
135,Resolving the crustal composition paradox by 3.8 billion years of slab failure magmatism and collisional recycling of continental crust,"bowring, samuel a.",Earth Atmospheric & Planetary Science Department,17,2018,0
136,Observation of a topological insulator Dirac cone reshaped by non-magnetic impurity resonance,"suzuki, takehito",Physical Department,9,2018,0
137,Spin-orbit torque in a completely compensated synthetic antiferromagnet,"zhang, p. x.",Electrical Engineering & Computer Science Department,13,2018,0
139,Making a Notch in the Evolution of the Human Cortex,"bizzotto, sara",Broad Institute,1,2018,0
140,The nature of the TRAPPIST-1 exoplanets,"de wit, julien",Earth Atmospheric & Planetary Science Department,111,2018,2
141,Studies of the resonance structure in D-0 -> K--/+ pi(+/-) pi(+/-) pi(-/+) decays,"boettcher, t.",Kavli Astrophysics & Space Science Institute,4,2018,0
142,Beyond Covalent Crosslinks: Applications of Supramolecular Gels,"christoff-tempesta, ty",Material Science & Engineering Department,7,2018,1
143,Places: A 10 Million Image Database for Scene Recognition,"zhou, bolei",Computer Science & Artificial Intelligence Lab,299,2018,0
145,THE DERMAL ABYSS: Color-Changing Tattoos for Medical Diagnostics,"liu, xin",Media Lab,0,2018,0
146,Perspective: Engineering noise in biological systems towards predictive stochastic design,"weiss, ron",Biological Engineering Department,3,2018,1
147,Chemical pre-processing of cluster galaxies over the past 10 billion years in the IllustrisTNG simulations,"torrey, paul",Kavli Astrophysics & Space Science Institute,7,2018,0
148,Similar star formation rate and metallicity variability time-scales drive the fundamental metallicity relation,"torrey, paul",Kavli Astrophysics & Space Science Institute,36,2018,0
149,Elucidating the Reactivity and Mechanism of CO2 Electroreduction at Highly Dispersed Cobalt Phthalocyanine,"wang, minghui",Chemical Engineering Department,38,2018,0
150,Exploration of Near-Infrared-Emissive Colloidal Multinary Lead Halide Perovskite Nanocrystals Using an Automated Microfluidic Platform,"lignos, ioannis",Chemical Engineering Department,51,2018,0
151,Motion-Based Immunological Detection of Zika Virus Using Pt-Nanomotors and a Cellphone,"hua, stephane",Ragon Institute,20,2018,0
152,Engineering a Full Gamut of Structural Colors in All-Dielectric Mesoporous Network Metamaterials,"tsurimaki, yoichiro",Mechanical Engineering Department,18,2018,0
153,Bioinspired Cocatalysts Decorated WO3 Nanotube Toward Unparalleled Hydrogen Sulfide Chemiresistor,"choi, seon-jin",Chemical Department,14,2018,0
154,Kinetic Studies of Lignin Solvolysis and Reduction by Reductive Catalytic Fractionation Decoupled in Flow-Through Reactors,"anderson, eric m.",Chemical Department,39,2018,0
155,Association of branched-chain amino acids and other circulating metabolites with risk of incident dementia and Alzheimer's disease: A prospective study in eight cohorts,"gerszten, robert e.",Broad Institute,34,2018,0
156,"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment","acemoglu, daron",Economics Department,67,2018,0
157,Our Evolving Understanding of the Mechanism of Quinolones,"stokes, jonathan m.",Biological Engineering Department,8,2018,2
158,"Fuel flexibility, stability and emissions in premixed hydrogen-rich gas turbine combustion: Technology, fundamentals, and numerical simulations (vol 154, pg 1020, 2015)","taamallah, s.",Mechanical Engineering Department,1,2018,0
159,Natural language based financial forecasting: a survey,"welsch, roy e.",Mechanical Engineering Department,59,2018,0
160,Exoplanet Biosignatures: Future Directions,"bains, william",Mechanical Engineering Department,33,2018,0
161,Spectroscopic Validation of Low-metallicity Stars from RAVE,"frebel, anna",Physical Department,13,2018,1
162,"The R-Process Alliance: 2MASS J09544277+5246414, the Most Actinide-enhanced R-II Star Known","frebel, anna",Physical Department,18,2018,1
163,Injectable shear-thinning hydrogels for delivering osteogenic and angiogenic cells and growth factors,"alarcin, emine",Division Health Science & Technology,22,2018,1
165,Electrochemical Biosensors: A Solution to Pollution Detection with Reference to Environmental Contaminants,"parra-saldivar, roberto",Microsystems Technology Labs,42,2018,1
166,"Harnessing a methane-fueled, sediment-free mixed microbial community for utilization of distributed sources of natural gas","kumar, amit",Chemical Engineering Department,2,2018,0
167,Sequential ALK Inhibitors Can Select for Lorlatinib-Resistant Compound ALK Mutations in ALK-Positive Lung Cancer,"lawrence, michael s.",Broad Institute,74,2018,0
168,"The effect of magnesium content on in vitro bioactivity, biological behavior and antibacterial activity of sol-gel derived 58S bioactive glass","moghanian, amirhossein",Health Science & Technology Division,21,2018,0
169,Influence of Serotonin Transporter SLC6A4 Genotype on the Effect of Psychosocial Stress on Cognitive Performance: An Exploratory Pilot Study,"jenkins, neil t.",Material Science & Engineering Department,6,2018,0
170,Spontaneous Urinary Bladder Leiomyoma in a Rhesus Macaque (Macaca mulatta),"scott, kathleen e.",Division Comparative Medicine,0,2018,0
171,A new 8-node element for analysis of three-dimensional solids,"bathe, klaus-jurgen",Mechanical Engineering Department,2,2018,0
172,"Cortical responses to dynamic emotional facial expressions generalize across stimuli, and are sensitive to task-relevance, in adults with and without Autism","kliemann, dorit",Mcgovern Institute Brain Research Center,6,2018,1
173,Insights from population-based analyses of plasma lipids across the allele frequency spectrum,"natarajan, pradeep",Broad Institute,0,2018,0
174,Gene-lifestyle interplay in type 2 diabetes,"merino, jordi",Broad Institute,4,2018,0
175,"Roles of microglia in nervous system development, plasticity, and disease","stevens, beth",Broad Institute,9,2018,0
176,Connectome development and a novel extension to the neurodevelopmental model of schizophrenia,"collin, guusje",Brain & Cognitive Science Department,7,2018,0
177,Mice with endogenous TDP-43 mutations exhibit gain of splicing function and characteristics of amyotrophic lateral sclerosis,"wang, eric",Biological Department,46,2018,0
178,A salt-rejecting floating solar still for low-cost desalination,"ni, george",Mechanical Engineering Department,179,2018,0
179,Ratcheting ambition to limit warming to 1.5 degrees C-trade-offs between emission reductions and carbon dioxide removal,"sterman, john",Mechanical Engineering Department,19,2018,0
180,Overview of traffic incident duration analysis and prediction,"ben-akiva, moshe e.",Civil & Environmental Engineering Department,7,2018,0
181,Glimpses of Flow Development and Degradation During Type B Drag Reduction by Aqueous Solutions of Polyacrylamide B1120,"virk, preetinder s.",Chemical Engineering Department,0,2018,0
185,A High-Performance Cable-Drive Module for the Development of Wearable Devices,"kuan, jiun-yih",Media Lab,9,2018,0
186,A Software Defined Network-Based Security Assessment Framework for CloudIoT,"huang, keman",Media Lab,5,2018,0
187,Design and High-Power Test of an Internal Coupler to HE11 Mode in Corrugated Waveguide for High-Power Gyrotrons,"schaub, samuel c.",Plasma Science & Fusion Center,3,2018,0
188,Quantum Error-Correcting Codes for Qudit Amplitude Damping,"kong, linghang",Theoretical Physical Lab,7,2018,0
189,An Unsupervised Compressed Sensing Algorithm for Multi-Channel Neural Recording and Spike Sorting,"zhang, jie",Brain & Cognitive Science Department,2,2018,0
190,Transthoracic echocardiography and mortality in sepsis: analysis of the MIMIC-III database,"celi, leo a.",Medicine Engineering & Science Institute,24,2018,0
191,Stiffness and specific energy absorption of additively-manufactured metallic BCC metamaterials composed of tapered beams,"tancogne-dejean, thomas",Mechanical Engineering Department,24,2018,0
192,Measurements of Water-Wave Cloaking by an Array of Circular Cylinders,"newman, john n.",Mechanical Engineering Department,2,2018,0
193,Traditional and additive manufacturing of a new Tungsten heavy alloy alternative,"schuh, christopher a.",Material Science & Engineering Department,27,2018,1
194,Drinking water microbiome assembly induced by water stagnation,"ling, fangqiong",Biological Engineering Department,41,2018,0
196,What predicts anti-Roma prejudice? Qualitative and quantitative analysis of everyday sentiments about the Roma,"bruneau, emile",Brain & Cognitive Science Department,10,2018,0
197,Type VI Secretion System Dynamics Reveals a Novel Secretion Mechanism in Pseudomonas aeruginosa,"leroux, michele",Biological Department,10,2018,0
199,GSDMD is critical for autoinflammatory pathology in a mouse model of Familial Mediterranean Fever,"xavier, ramnik j.",Broad Institute,54,2018,0
200,Deviations from Covered Interest Rate Parity,"verdelhan, adrien",Broad Institute,39,2018,0
201,Cost of experimentation and the evolution of venture capital,"rhodes-kropf, matthew",Broad Institute,14,2018,0
202,Recent advances in gene-enhanced bone tissue engineering,"betz, oliver b.",Chemical Engineering Department,6,2018,0
203,Serendipity in dark photon searches,"soreq, yotam",Theoretical Physical Lab,69,2018,1
206,Catastrophes and their Classifications: Revising New York City's Hurricane Evacuation Maps after Irene and Sandy,"wilson, michael t.",Urban Studies & Planning Department,0,2018,0
207,Low-Skill and High-Skill Automation,"acemoglu, daron",Urban Studies & Planning Department,8,2018,0
209,A terahertz pump mega-electron-volt ultrafast electron diffraction probe apparatus at the SLAC Accelerator Structure Test Area facility,"ofori-okai, b. k.",Chemical Department,5,2018,0
211,Design and Preliminary Field Validation of a Fully Passive Prosthetic Knee Mechanism for Users With Transfemoral Amputation in India,"arelekatti, v. n. murthy",Mechanical Engineering Department,2,2018,0
212,Design and Evaluation of a Novel Rotatable One-Element Snake Bone for NOTES,"liu, john",Mechanical Engineering Department,1,2018,0
213,"LesionAir: An Automated, Low-Cost Vision-Based Skin Cancer Diagnostic Tool","wortman, tyler d.",Mechanical Engineering Department,3,2018,0
214,Vapor-gap membranes for highly selective osmotically driven desalination,"straub, anthony",Material Science & Engineering Department,14,2018,0
215,Comprehensive condensation flow regimes in air gap membrane distillation: Visualization and energy efficiency,"warsinger, david m.",Mechanical Engineering Department,7,2018,0
216,Influence of gravel on the propagation pattern of hydraulic fracture in the glutenite reservoir,"rui, zhenhua",Mechanical Engineering Department,67,2018,0
217,FRICTIONAL COORDINATION,"angeletos, george-marios",Mechanical Engineering Department,0,2018,0
218,A theory for fracture of polymeric gels,"mao, yunwei",Mechanical Engineering Department,22,2018,0
219,Mechanical exfoliation of two-dimensional materials,"qinn, zhao",Civil & Environmental Engineering Department,25,2018,1
220,Advances in osteobiologic materials for bone substitutes,"byambaa, batzaya",Health Science & Technology Division,31,2018,0
221,Robust and adaptive control of coexisting attractors in nonlinear vibratory energy harvesters,"hosseinloo, ashkan haji",Mechanical Engineering Department,7,2018,1
222,Automated typing of red blood cell and platelet antigens: a whole-genome sequencing study,"rehm, heidi l.",Broad Institute,26,2018,0
224,"TEACHING LINGUISTICS & LANGUAGE AND PUBLIC POLICY Kreyol, pedagogy, and technology for opening up quality education in Haiti: Changes in teachers' metalinguistic attitudes as first steps in a paradigm shift","degraff, michel",Broad Institute,2,2018,0
225,"An autonomous, in situ light-dark bottle device for determining community respiration and net community production","collins, james r.",Broad Institute,7,2018,0
226,Genome sequencing reveals infection mechanisms for two amphibian-infecting chytrid species,"abouelleil, a.",Broad Institute,0,2018,0
227,Draft Genome Sequences of Two Sporothrix schenckii Clinical Isolates Associated with Human Sporotrichosis in Colombia,"munoz, j. f.",Broad Institute,2,2018,0
228,On the Possibility of Miniature Diamond-Based Magnetometers Using Waveguide Geometries,"clevenson, hannah",Lincoln Lab,8,2018,1
230,Phosphorylation coexists with O-GlcNAcylation in a plant virus protein and influences viral infection,"gupta, namrata",Broad Institute,7,2018,0
231,The dendritic spine morphogenic effects of repeated cocaine use occur through the regulation of serum response factor signaling,"neve, rachael l.",Brain & Cognitive Science Department,12,2018,0
232,"The abundance, distribution, and physical nature of highly ionized oxygen O VI, O VII, and O VIII in IllustrisTNG","torrey, paul",Kavli Astrophysics & Space Science Institute,62,2018,0
233,First results from the IllustrisTNG simulations: a tale of two elements - chemical evolution of magnesium and europium,"torrey, paul",Physical Department,158,2018,0
234,Self-compensation induced vacancies for significant phonon scattering in InSb,"zhou, jiawei",Mechanical Engineering Department,10,2018,0
235,Insights into the mechanism of metal-polymer contact electrification for triboelectric nanogenerator via first-principles investigations,"li, hanqing",Microsystems Technology Labs,33,2018,0
236,Giant Enhancement in Radiative Heat Transfer in Sub-30 nm Gaps of Plane Parallel Surfaces,"song, bai",Mechanical Engineering Department,32,2018,0
237,Sustained release of targeted cardiac therapy with a replenishable implanted epicardial reservoir,"roche, e.",Medicine Engineering & Science Institute,27,2018,1
238,High-throughput creation and functional profiling of DNA sequence variant libraries using CRISPR-Cas9 in yeast,"collins, james j.",Medicine Engineering & Science Institute,27,2018,3
239,Next-generation biocontainment systems for engineered organisms,"chan, clement t. y.",Medicine Engineering & Science Institute,36,2018,3
240,Function and functional redundancy in microbial systems,"polz, martin f.",Civil & Environmental Engineering Department,138,2018,0
241,Planning for electric vehicle needs by coupling charging profiles with urban mobility,"xu, yanyan",Civil & Environmental Engineering Department,23,2018,0
242,A genome-wide cross-trait analysis from UK Biobank highlights the shared genetic architecture of asthma and allergic diseases,"lee, phil h.",Broad Institute,46,2018,0
243,Calcium-dependent molecular fMRI using a magnetic nanosensor,"okada, satoshi",Biological Engineering Department,20,2018,3
