paper,title,author,affiliation,cite,year,collabs
18,Oxygen-argon acoustic cavitation bubble in a water-methanol mixture: Effects of medium composition on sonochemical activity,"hamdaoui, oualid",Chemical Engineering Department,1,2020,0
19,Development of high-performance fiber optic gas sensor based rice-like CeO2/MWCNT nanocomposite synthesized by facile hydrothermal route,"ahamad, tansir",Chemistry Department,2,2020,0
21,Kinetics and mechanism analysis for the photodegradation of PFOA on different solid particles,"al-basher, ghada",Zoology Department,0,2020,0
22,Formation of composite nanostructures with an effective hydrazine sensor and their chemical approach,"wahab, rizwan",Zoology Department,0,2020,1
23,A NEW NUMERICAL SCHEME APPLIED ON RE-VISITED NONLINEAR MODEL OF PREDATOR-PREY BASED ON DERIVATIVE WITH NON-LOCAL AND NON-SINGULAR KERNEL,"alkahtani, badr saad t.",Mathematics Department,0,2020,0
24,INCLUSION OF FADING MEMORY TO BANISTER MODEL OF CHANGES IN PHYSICAL CONDITION,"shrahili, mansour",Statistics & Operations Research Department,0,2020,1
25,Inverse-raised-cosine fibers for next-generation orbital angular momentum systems,"issa, khaled",Electrical Engineering Department,0,2020,0
26,A body sensor data fusion and deep recurrent neural network-based behavior recognition approach for robust healthcare,"alsanad, ahmed",Information Systems Department,11,2020,1
27,"Revising degumming and bleaching processes of palm oil refining for the mitigation of 3-monochloropropane-1,2-diol esters (3-MCPDE) and glycidyl esters (GE) contents in refined palm oil","nehdi, imeddedine arbi",Chemistry Department,3,2020,0
29,Strategies for Designing Antithermal-Quenching Red Phosphors,"al kheraif, abdulaziz a.",Dental Health Department,6,2020,0
32,Accumulation of heavy metals in a macrophyte Phragmites australis: implications to phytoremediation in the Arabian Peninsula wadis,"al-homaidan, ali a.",Botany & Microbiology Department,1,2020,0
33,New main-group ferrocenyldithiocarbamates and conversion to ferrocene oxazolidine-2-thione and-2-one,"muddassir, mohd.",Chemistry Department,0,2020,0
34,"Ticks and associated pathogens in camels (Camelus dromedarius) from Riyadh Province, Saudi Arabia","alyousif, mohamed s.",Zoology Department,2,2020,0
35,Two-stage bond portfolio optimization and its application to Saudi Sukuk Market,"mrad, mehdi",Industrial Engineering Department,0,2020,0
36,Early-Pregnancy Metabolic Syndrome and Subsequent Incidence in Gestational Diabetes Mellitus in Arab Women,"wani, kaiser",Biochemistry Department,1,2020,4
38,"Rett Syndrome, a Neurodevelopmental Disorder, Whole-Transcriptome, and Mitochondrial Genome Multiomics Analyses Identify Novel Variations and Disease Pathways","salih, mustafa a.",Pediatric Neuroophthalmology Division,1,2020,2
39,"Development and validation of UPLC-MS/MS method for studying the pharmacokinetic interaction of dasabuvir and tamoxifen, 4-hydroxytamoxifen in Wistar rats","almomen, aliyah",Pharmaceutical Chemistry Department,0,2020,0
40,Potential Natural Dyes Food from the Powder of Prickly Pear Fruit Peels (Opuntia spp.) Growing in the Mediterranean Basin under Climate Stress,"ullah, riaz",Medical Aromat & Poisonous Plants Research Center,0,2020,1
43,Cubic Anisotropic Co- and Zn-Substituted Ferrite Nanoparticles as Multimodal Magnetic Agents,"al-modlej, abeer",Physics & Astronomy Department,0,2020,0
44,Correlation Between Sex and Facial Soft Tissue Characteristics Among Young Saudi Patients with Various Orthodontic Skeletal Malocclusions,"divakar, darshan devang",Dental Health Department,0,2020,0
45,Combined cardio-protective ability of syringic acid and resveratrol against isoproterenol induced cardio-toxicity in rats via attenuating NF-kB and TNF-alpha pathways,"hussain, shaik althaf",Zoology Department,1,2020,1
46,Recent Development of Catalytic Materials for Ethylbenzene Oxidation,"abdel-daim, mohamed m.",Zoology Department,0,2020,0
47,Multiple cause of death analysis in multiple sclerosis: A population-based study,"alotaibi, mohammed",Ophthalmology Department,1,2020,0
48,"A Prospective Evaluation of Serum Vitamin D (1, 25(OH)(2) D-3) and Endogenous Sex Hormone Levels in Colorectal Cancer Patients (vol 9, 468, 2019)","razak, suhail",Community Health Science Department,0,2020,0
49,Electrochemical preparation system for unique mesoporous hemisphere gold nanoparticles using block copolymer micelles,"alshehri, saad m.",Chemistry Department,3,2020,0
50,Optimizing reinforced concrete beams under different load cases and material mechanical properties using genetic algorithms,"alaskar, abdulaziz",Civil Engineering Department,2,2020,0
51,"Quinoline yellow (food additive) induced conformational changes in lysozyme: a spectroscopic, docking and simulation studies of dye-protein interactions","khan, mohd shahnawaz",Biochemistry Department,1,2020,1
52,Efficient and Stable Ideal Bandgap Perovskite Solar Cell Achieved by a Small Amount of Tin Substituted Methylammonium Lead Iodide,"alshehri, saad m.",Chemistry Department,0,2020,0
53,Gallic acid-functionalized silver nanoparticles as colorimetric and spectrophotometric probe for detection of Al3+ in aqueous medium,"syed, asad",Botany & Microbiology Department,2,2020,0
54,"Effects of dietary inclusion of chromium propionate on growth performance, intestinal health, immune response and nutrient transporter gene expression in broilers","abdel-daim, mohamed m.",Zoology Department,0,2020,0
55,Oleuropein Reverses Repeated Corticosterone-Induced Depressive-Like Behavior in mice: Evidence of Modulating Effect on Biogenic Amines,"badr, amira m.",Pharmacology & Toxicology Department,0,2020,0
56,Comparison between blood pressure during obstructive respiratory events in REM and NREM sleep using pulse transit time,"almeneessier, aljohara s.",University Sleep Disorders Center,1,2020,1
57,"Surgical mitral valve replacement using direct implantation of Sapien 3 valve in a patients with severe mitral annular calcification without adjunctive techniques, a case report","albacker, turki b.",Cardiac Science Department,0,2020,0
58,"Screening and computational analysis of colorectal associated non-synonymous polymorphism in CTNNB1 gene in Pakistani population (vol 20, 171, 2019)","razak, suhail",Community Health Science Department,0,2020,1
59,Cardioprotective Effect of Olive Oil Against Ischemia Reperfusion-induced Cardiac Arrhythmia in Isolated Diabetic Rat Heart,"bukhari, ishfaq a.",Pharmacology Department,1,2020,2
60,Ultrasound-assisted process for optimal recovery of phenolic compounds from watermelon (Citrullus lanatus) seed and peel,"fadimu, gbemisola j.",Food Science & Nutrition Department,0,2020,0
62,"Bioactive properties, fatty acid compositions, and phenolic compounds of some date palm (Phoenix dactylifera L.) cultivars","al juhaimi, fahad",Food Science & Nutrition Department,1,2020,0
63,"Synthesis, characterization and photo-catalytic activity of guar-gum-g-aliginate@silver bionanocomposite material","khan, rais ahmad",Chemistry Department,3,2020,0
64,Spectrophotometric and spectrodensitometric quantification of a new antiviral combination,"shakeel, faiyaz",Pharmaceutical Department,0,2020,1
66,Impact of the Glycemic Control and Duration of Type 2 Diabetes on Vitamin D Level and Cardiovascular Disease Risk,"aljuraiban, ghadeer s.",Community Health Science Department,0,2020,0
69,Solubility of sinapic acid in various (Carbitol plus water) systems: computational modeling and solution thermodynamics,"shakeel, faiyaz",Pharmaceutical Department,5,2020,0
70,Vitamin D Receptor Polymorphisms Associated with Autism Spectrum Disorder,"al daghri, nasser",Biochemistry Department,0,2020,0
74,Formal Verification of Hardware Components in Critical Systems,"khan, farrukh aslam",Excellence Information Assurance Coeia Center,0,2020,0
76,"Thermal imaging and passive reflectance sensing to estimate the water status and grain yield of wheat under different irrigation regimes (vol 189, pg 98, 2017)","dewir, yaser hassan",Plant Production Department,0,2020,0
77,Can Brief Cognitive or Medication Management Tasks Identify the Potential for Dependence in Instrumental Activities of Daily Living?,"al-heizan, muhammad o.",Rehabilitation Science Department,0,2020,0
79,Biallelic Mutations in Tetratricopeptide Repeat Domain 26 (Intraflagellar Transport 56) Cause Severe Biliary Ciliopathy in Humans,"al-hussaini, abdulrahman",Pediatric Department,3,2020,0
80,A remarkable improvement in photocatalytic activity of ZnO nanoparticles through Sr doping synthesized by one pot flash combustion technique for water treatments,"khan, aslam",King Abdullah Institute Nanotechnology,11,2020,0
81,An Enhanced Deep Neural Network for Predicting Workplace Absenteeism,"ahmad, shafiq",Industrial Engineering Department,7,2020,0
82,Interleukin-22 Polymorphisms in Plasmodium falciparum-Infected Malaria Patients,"alkahtani, saad",Zoology Department,0,2020,0
83,The impact of proteostasis dysfunction secondary to environmental and genetic causes on neurodegenerative diseases progression and potential therapeutic intervention,"abdel-daim, mohamed m.",Zoology Department,0,2020,0
84,A study of fractional Lotka-Volterra population model using Haar wavelet and Adams-Bashforth-Moulton methods,"samet, bessem",Mathematics Department,45,2020,0
85,"Effect of nanoencapsulation on volatile constituents, and antioxidant and anticancer activities of Algerian Origanum glandulosum Desf. essential oil","ali, hatem s.",Food Science & Nutrition Department,4,2020,0
87,Methylene Blue Catalytic Degradation Using Silver and Magnetite Nanoparticles Functionalized with a Poly(ionic liquid) Based on Quaternized Dialkylethanolamine with 2-Acrylamido-2-methylpropane Sulfonate-co-Vinylpyrrolidone,"atta, ayman m.",Chemistry Department,1,2020,0
88,The effect of intracanal medicaments used in Endodontics on the dislocation resistance of two calcium silicate-based filling materials,"alsubait, sara",Researchtorat Dental Science Department,0,2020,0
89,2D Hexagonal SnTe monolayer: a quasi direct band gap semiconductor with strain sensitive electronic and optical properties,"laref, amel",Physics Department,1,2020,0
90,"European guidance for the diagnosis and management of osteoporosis in postmenopausal women (vol 30, pg 3, 2019)","reginster, j. y.",Biochemistry Department,0,2020,0
94,A Note on Conformable Double Laplace Transform and Singular Conformable Pseudoparabolic Equations,"eltayeb, hassan",Mathematics Department,0,2020,0
95,"Quality of Palliative Care: Perspective of Healthcare Providers at a Tertiary Hospital in Riyadh, Saudi Arabia","almoajel, alia",Community Health Science Department,0,2020,0
96,"Algorithm for the management of patients at low, high and very high risk of osteoporotic fractures (vol 31, pg 1, 2020)","al-daghri, nasser m.",Biochemistry Department,0,2020,0
97,A multivocal study to improve the implementation of global requirements change management process: A client-vendor prospective,"alsanad, ahmed",Information Systems Department,0,2020,0
98,Instantaneous blow-up for a fractional in time equation of Sobolev type,"jleli, mohamed",Mathematics Department,0,2020,0
99,Plant functional groups associate with distinct arbuscular mycorrhizal fungal communities,"zobel, martin",Zoology Department,5,2020,0
100,"Synthesis, structural, thermal, Hirshfeld surface and DFT studies on a new hybrid compound: bis[4-(dimethylamino)pyridinium] tetrachloridomanganate(II)","alswaidan, ibrahim a.",Pharmaceutical Chemistry Department,0,2020,0
102,Mosquitocidal and repellent activities of essential oils against Culex pipiens L.,"al-sarar, ali s.",Plant Protection Department,1,2020,0
104,Highly sensitive and selective colorimetric detection of arginine by polyvinylpyrrolidone functionalized silver nanoparticles,"syed, asad",Botany & Microbiology Department,5,2020,0
105,Carbon quantum dots and reduced graphene oxide modified self-assembled S@C3N4/B@C3N4 metal-free nano-photocatalyst for high performance degradation of chloramphenicol,"ahmad, naushad",Chemistry Department,4,2020,0
106,Supramolecular polymeric aggregation behavior and its impact on catalytic properties of imidazolium based hydrophilic ionic liquids,"bari, ahmed",Pharmaceutical Chemistry Department,0,2020,0
107,Adsorption of azo and anthraquinone dye by using watermelon peel powder and corn peel powder: equilibrium and kinetic studies,"alamri, saud a.",Botany & Microbiology Department,5,2020,0
108,"Structural, morphological and electronic properties of cadmium cobalt ferrite nanoparticles","batoo, khalid mujasam",King Abdullah Institute Nanotechnology,3,2020,0
109,"Reactive dyes adsorption via Citrus hystrix peel powder and Zea mays cob powder: characterization, isotherm and kinetic studies","alsahli, abdulaziz a.",Botany & Microbiology Department,1,2020,0
110,Joint-learning segmentation in Internet of drones (IoD)-based monitor systems,"khan, muhammad khurram",Excellence Information Assurance Center,2,2020,0
111,Deep learning-based intelligent face recognition in IoT-cloud environment,"muhammad, ghulam",Computer Engineering Department,0,2020,1
112,MnOx thin film based electrodes: Role of surface point defects and structure towards extreme enhancement in specific capacitance,"islam, mohammad",Excellence Research Engineering Material Center,0,2020,1
113,Bio-mass derived ultrahigh-energy storage porous graphitic carbon for advanced anode material in lithium battery,"khan, salah ud-din",Sustainable Energy Technololgy Center,1,2020,0
114,Synthesis of NiOx@NPC composite for high-performance supercapacitor via waste PET plastic-derived Ni-MOF,"al-enizi, abdullah m.",Chemistry Department,6,2020,0
115,A microservice recommendation mechanism based on mobile architecture,"imran, muhammad",Computer Science Department,1,2020,1
116,"Tuning the structural, optical and electrical properties of NiO nanoparticles prepared by wet chemical route","al-khalli, najeeb",Electrical Engineering Department,4,2020,1
117,Evaluating the efficiency of different natural clay sediments for the removal of chlortetracycline from aqueous solutions,"al-wabel, mohammad i.",Soil Science Department,0,2020,0
118,"Deep learning approaches for anomaly-based intrusion detection systems: A survey, taxonomy, and open issues","derhab, abdelouahid",Excellence Information Assurance Coeia Center,7,2020,1
119,Bio-inspired and biomaterials-based hybrid photocatalysts for environmental detoxification: A review,"ahmad, naushad",Chemistry Department,8,2020,0
120,Anti-biofilm investigation of graphene/chitosan nanocomposites against biofilm producing P. aeruginosa and K. pneumoniae,"kadaikunnan, shine",Botany & Microbiology Department,5,2020,0
121,Evaluation of competitive binding interaction of neratinib and tamoxifen to serum albumin in multidrug therapy',"wani, tanveer a.",Pharmaceutical Chemistry Department,8,2020,2
122,"Synthesis, computational studies and biological activity of oxamohydrazide derivatives bearing isatin and ferrocene scaffolds","ali, m.",Chemistry Department,0,2020,0
123,Soil bacteria Cupriavidus sp. mediates the extracellular synthesis of antibacterial silver nanoparticles,"ameen, fuad",Botany & Microbiology Department,7,2020,0
124,Au-NPs embedded Z-scheme WO3/TiO2 nanocomposite for plasmon-assisted photocatalytic glycerol-water reforming towards enhanced H-2 evolution,"siraj, mohammad",Electrical Engineering Department,11,2020,0
125,Photosynthetic cyclic electron transport provides ATP for homeostasis during trap closure in Dionaea muscipula,"rennenberg, heinz",Zoology Department,0,2020,0
126,High-performance thin-layer chromatographic determination of trigonelline content in various extracts and different varieties of some commercial coffees available in the Saudi Arabian market,"shakeel, faiyaz",Pharmaceutical Department,0,2020,1
127,Bengali Stop Word and Phrase Detection Mechanism,"abdullah-al-wadud, m.",Software Engineering Department,0,2020,1
128,Engineered Nanomaterials and Type I Allergic Hypersensitivity Reactions,"alsaleh, nasser b.",Pharmacology & Toxicology Department,1,2020,0
129,Multiple Family Members With Delayed Cord Separtion and Combined Immunodeficiency With Novel Mutation in IKBKB,"alsum, zobaida",Pediatric Department,0,2020,0
130,Intracellular oxidative damage due to antibiotics on gut bacteria reduced by glutathione oxidoreductase-derived antioxidant molecule GM15,"paray, bilal ahamad",Zoology Department,1,2020,0
131,Inhibition of hepatitis C virus genotype 4 replication using siRNA targeted to the viral core region and the CD81 cellular receptor,"aljowaie, reem m.",Botany & Microbiology Department,0,2020,1
132,Exploration of gum ghatti-modified porous scaffolds for bone tissue engineering applications,"mohammad, faruq",Chemistry Department,2,2020,0
133,An efficient one-pot synthesis of industrially valuable primary organic carbamates and N-substituted ureas by a reusable Merrifield anchored iron(ii)-anthra catalyst [Fe-II(Anthra-Merf)] using urea as a sustainable carbonylation source,"khan, aslam",King Abdullah Institute Nanotechnology,2,2020,0
134,"Synthesis, growth and physicochemical characterization of 8-hydroxyquinolinium 3,4 dimethoxybenzoate, a novel organic nonlinear optical single crystal","mohammad, faruq",Chemistry Department,1,2020,0
136,"Predictions on structural, electronic, optical and thermal properties of lithium niobate via first-principle computations","bin omran, s.",Physics & Astronomy Department,0,2020,0
137,Structure-guided screening of chemical database to identify NS3-NS2B inhibitors for effective therapeutic application in dengue infection,"wabaidur, s. m.",Chemistry Department,1,2020,0
138,The morbid genome of ciliopathies: an update,"sabr, yasser s.",Obstet & Gynecology Department,7,2020,1
139,Effectiveness of scaling and root planing with and without adjunct probiotic therapy in the treatment of chronic periodontitis among shamma users and non-users: A randomized controlled trial,"vohra, fahim",Prosthetic Dental Science Department,0,2020,1
140,Histological characteristics of early-stage oral tongue cancer in young versus older patients: A multicenter matched-pair analysis,"bello, ibrahim o.",Oral Medical & Diagnostic Science Department,2,2020,0
141,Does information and communication technology affect CO2 mitigation under the pathway of sustainable development during the mode of globalization?,"khan, salah ud-din",Sustainable Energy Technology Center,7,2020,0
143,"C-phycocyanin attenuates RANKL-induced osteoclastogenesis and bone resorption in vitro through inhibiting ROS levels, NFATc1 and NF-kappa B activation","aljohani, hanan",Oral Medical & Diagnostic Science Department,2,2020,0
145,Synthesis of a Novel Composite Sorbent Coated with Siderite Nanoparticles and its Application for Remediation of Water Contaminated with Congo Red Dye,"naushad, mu",Chemistry Department,6,2020,0
146,Interaction of (-)-Epigallocatechin Gallate and Deoxyosones Blocking the Subsequent Maillard Reaction and Improving the Yield of N-(1-Deoxy-D-xylulos-1-yl)alanine,"hayat, khizar",Food Science & Nutrition Department,2,2020,1
147,The wild species genome ancestry of domestic chickens,"aljumaah, riyadh s.",Animal Production Department,2,2020,0
148,The Effect of Thermocycling on the Translucency and Color Stability of Modified Glass Ceramic and Multilayer Zirconia Materials,"aljanobi, ghadeer",Prosthetic Dental Science Department,1,2020,0
150,Physiological and molecular characterization of water-stressed Chrysanthemum under robinin and chitosan treatment,"elansary, hosam o.",Plant Production Department,2,2020,0
151,Thymoquinone treatment modulates the Nrf2/HO-1 signaling pathway and abrogates the inflammatory response in an animal model of lung fibrosis,"ahmad, ajaz",Clinical Pharmacology Department,2,2020,2
152,Facile Synthesis of Nanoporous Transition Metal-Based Phosphates for Oxygen Evolution Reaction,"alshehri, saad m.",Chemistry Department,1,2020,0
155,Oleogels Based on Palmitic Acid and Safflower Oil: Novel Formulations for Ocular Drug Delivery of Voriconazole,"anis, arfat",Chemical Engineering Department,0,2020,0
156,Herbs as thermoregulatory agents in poultry: An overview,"alkahtani, saad",Zoology Department,12,2020,0
157,Ginger extract ameliorates bisphenol A (BPA)-induced disruption in thyroid hormones synthesis and metabolism: Involvement of Nrf-2/HO-1 pathway,"abdel-daim, mohamed m.",Zoology Department,11,2020,0
159,"Association of the genetic variants of insulin receptor substrate 1 (IRS-1) with type 2 diabetes mellitus in a Saudi population (vol 45, pg 128, 2019)","alharbi, khalid khalaf",Clinical Lab Science Department,0,2020,0
160,"Prolonged use of finasteride-induced gonadal sex steroids alterations, DNA damage and menstrual bleeding in women","al-basher, ghada",Zoology Department,0,2020,1
161,Rare occurrence of central diabetes insipidus with dermatomyositis in a young male,"ekhzaimy, aishah",Medical Department,0,2020,2
162,Coenzyme Q10 Activates the Antioxidant Machinery and Inhibits the Inflammatory and Apoptotic Cascades Against Lead Acetate-Induced Renal Injury in Rats,"metwally, dina m.",Zoology Department,8,2020,0
164,Carboxymethyl cellulose structured nano-adsorbent for removal of methyl violet from aqueous solution: isotherm and kinetic analyses,"ahmad, naushad",Chemistry Department,2,2020,0
165,Development limitations of compressive arch and catenary actions in reinforced concrete special moment resisting frames under column-loss scenarios,"almusallam, tarek h.",Civil Engineering Department,1,2020,0
166,Evaluation and characterization of Egyptian ferruginous kaolinite as adsorbent and heterogeneous catalyst for effective removal of safranin-O cationic dye from water,"el-meligy, mohammed a.",Advanced Manufacturing Institute,1,2020,1
168,Waste foundry sand/MgFe-layered double hydroxides composite material for efficient removal of Congo red dye from aqueous solution,"ahmad, naushad",Chemistry Department,10,2020,0
169,"Geoarcheomorphosites under Strong Urbanization Pressure at the Tineh Plain, NE of the Nile Delta, Egypt","al-hashim, mansour",Geology & Geophysics Department,1,2020,0
170,Linking sensitivity of photosystem II to UV-B with chloroplast ultrastructure and UV-B absorbing pigments contents in A. thaliana L. phyAphyB double mutants,"allakhverdiev, suleyman i.",Zoology Department,2,2020,0
171,Synthesis of nanomagnetic sulphonated impregnated Ni/Mn/Na2SiO3 as catalyst for esterification of palm fatty acid distillate,"nehdi, imededdine arbi",Chemistry Department,3,2020,0
173,Influence of the effect of different electrolytes on the interaction of promethazine hydrochloride drug with tetradecyltrimethylammonium bromide at different temperatures,"wabaidur, saikh mohammad",Chemistry Department,3,2020,0
175,Early production of reactive oxygen species coupled with an efficient antioxidant system play a role in potato resistance to late blight,"el komy, mahmoud h.",Plant Protection Department,2,2020,0
177,"The prognosis for glycemic status among children and youth with obesity 2 years after entering a weight management program (vol 19, pg 874, 2018)",al khalifah,Pediatric Department,0,2020,0
178,Mesoporous Metal-Metalloid Amorphous Alloys: The First Synthesis of Open 3D Mesoporous Ni-B Amorphous Alloy Spheres via a Dual Chemical Reduction Method,"fatehmulla, amanullah",Physics & Astronomy Department,1,2020,0
179,Pre-micellar concentrations of sodium dodecylbenzene sulphonate induce amyloid-like fibril formation in myoglobin at pH 4.5,"khan, javed masood",Food Science & Nutrition Department,1,2020,1
180,Fabrication of visible-light active BiFeWO6/ZnO nanocomposites with enhanced photocatalytic activity,"arunachalam, prabhakarn",Chemistry Department,4,2020,0
181,Magnetic field driven actuation of sessile ferrofluid droplets in the presence of a time dependent magnetic field,"almutairi, zeyad a.",Mechanical Engineering Department,2,2020,0
182,"Zn(II) complex derived from bidentate Schiff base ligand: Synthesis, characterization, DFT studies and evaluation of anti-inflammatory activity","azam, mohammad",Chemistry Department,4,2020,1
183,Analysis of polystyrene and polycarbonate used in manufacturing of water and food containers using laser induced breakdown spectroscopy,"farooq, w. a.",Physics & Astronomy Department,2,2020,0
184,Biofilm inhibition and DNA binding studies of isoxazole-triazole conjugates in the development of effective anti-bacterial agents,"hussain, afzal",Pharmacognosy Department,1,2020,1
185,Isolation and characterization of cytotoxic and anti-inflammatory constituents fromScoparia dulcisL,"nur-e-alam, mohammad",Pharmacognosy Department,0,2020,0
186,Enhanced Antimicrobial Activity of Biofunctionalized Zirconia Nanoparticles,"khan, mujeeb",Chemistry Department,4,2020,0
188,Towards Antimonene and 2D Antimony Telluride through Electrochemical Exfoliation,"pumera, martin",Chemistry Department,2,2020,0
189,"Middle Miocene corals from Midyan area, Northwestern Saudi Arabia","el-sorogy, abdelbaset s.",Geology & Geophysics Department,0,2020,0
190,Injury in elite women's soccer: a systematic review,"alahmad, tahani a.",Rehabilitation Science Department,1,2020,0
191,"Cocaine, polysubstance abuse, and oral health outcomes, NHANES 2009 to 2014","aldosari, muath",Periodontics & Community Dental Department,0,2020,0
192,The future of voluntary blood donation in the Kingdom of Saudi Arabia,"abdelgader, a. m.",Physiology Department,0,2020,0
193,Study of Antibacterial Properties of Ziziphus mauritiana based Green Synthesized Silver Nanoparticles against Various Bacterial Strains,"shaik, mohammed rafi",Chemistry Department,3,2020,0
194,An Integrated Decision-Making Approach for Cause-And-Effect Analysis of Sustainable Manufacturing Indicators,"alkahtani, mohammed",Industrial Engineering Department,0,2020,0
195,Phytochemical Characterization and Chemotherapeutic Potential of Cinnamomum verum Extracts on the Multiplication of Protozoan Parasites In Vitro and In Vivo,"abdel-daim, mohamed m.",Zoology Department,8,2020,0
197,Mesoporous Acidic Catalysts Synthesis from Dual-Stage and Rising Co-Current Gasification Char: Application for FAME Production from Waste Cooking Oil,"nehdi, imededdine arbi",Chemistry Department,0,2020,0
198,Phase I metabolic profiling and unexpected reactive metabolites in human liver microsome incubations of X-376 using LC-MS/MS: bioactivation pathway elucidation and in silico toxicity studies of its metabolites,"attwa, mohamed w.",Pharmaceutical Chemistry Department,5,2020,0
202,Prevalence of gastro-esophageal reflux in diabetic patients at a tertiary hospital in Central Saudi Arabia,"al-khowaiter, saad s.",Gastroenterology Division,0,2020,0
203,Corneal elevation indices and pachymetry values of Saudi myopes using scheimpflug imaging,"al-sharif, eman m.",Ophthalmology Department,0,2020,0
206,"Fructose-1,6-bisphosphatase deficiency with confirmed molecular diagnosis. An important cause of hypoglycemia in children","mohammed, esraa a.",Pediatric Department,0,2020,0
208,"Nesomyrmex micheleae, a new ant species (Hymenoptera: Formicidae) from the Dhofar Governorate, Oman, with a synoptic list, distribution map and key to the Arabian Nesomyrmex","sharaf, mostafa r.",Plant Protection Department,0,2020,0
209,MSF challenges and survivals,"al-mutaz, ibrahim s.",Chemistry Engineering Department,0,2020,0
210,Improving irrigation efficiency and conservation using modern irrigation programs in Saudi Arabia,"al-omran, abdulrasoul",Soil Science Department,0,2020,0
211,Future prospects for desalination in the GCC countries,"al-muataz, ibrahim",Chemistry Engineering Department,0,2020,0
212,Study on photocatalytic and antibacterial properties of phase pure Fe2O3 nanostructures synthesized using Caralluma Fimbriata and Achyranthes Aspera leaves,"ahamad, t.",Chemistry Department,1,2020,0
213,Reversed ethane/ethylene adsorption in a metal-organic framework via introduction of oxygen,"alsalme, a.",Chemistry Department,5,2020,0
214,Selective oxidation of cumene into 2-phenyl-2-propanol and acetophenone over activated carbon supported Co1.5PW12O40 material,"abduh, naaser a. y.",Chemistry Department,0,2020,0
215,Mantle Convection Patterns Reveal the Mechanism of the Red Sea Rifting,"el khrepy, s.",Geology & Geophysics Department,0,2020,0
216,Naturally occurring neem gum: An unprecedented green resource for bioelectrochemical flexible energy storage device,"kumar, nadavala siva",Chemical Engineering Department,0,2020,0
217,Illustration of the Effects of Five Fungi on Acacia saligna Wood Organic Acids and Ultrastructure Alterations in Wood Cell Walls by HPLC and TEM Examinations,"ali, hayssam mohamed",Botany & Microbiology Department,1,2020,0
218,The household economic burden of non-communicable diseases in 18 countries,"alhabib, khalid f.",King Fahad Cardiac Center,3,2020,0
219,Effect of naked and PEG-coated gold nanoparticles on histopathology and cytokines expression in rat liver and kidneys,"al-harbi, najla s.",Biochemistry Department,4,2020,2
220,Tailoring ammonia gas sensing performance of La3+-doped copper cadmium ferrite nanostructures,"shaikh, shoyebmohamad f.",Chemistry Department,4,2020,0
221,Race and Culture in Teaching Cases,"azer, samy a.",Medical Education Department,0,2020,0
222,"Synthesis, Spectroscopic Characterization and Thermogravimetric Analysis of Cr( II) , Cu( II) , Zn(II) and Mg(II), Captopril Coordination Compounds","naglah, ahmed m.",Pharmaceutical Chemistry Department,0,2020,0
