paper,area,year
448,Environmental Sciences & Ecology,2018
449,Education & Educational Research,2018
449,Engineering,2018
450,Materials Science,2018
450,Physics,2018
451,Computer Science,2018
451,Engineering,2018
452,Mathematics,2018
453,Engineering,2018
453,Operations Research & Management Science,2018
454,Engineering,2018
454,Operations Research & Management Science,2018
455,Computer Science,2018
455,Geology,2018
456,Metallurgy & Metallurgical Engineering,2018
457,Telecommunications,2018
458,Business & Economics,2018
459,Chemistry,2018
460,Science & Technology - Other Topics,2018
461,Science & Technology - Other Topics,2018
462,Research & Experimental Medicine,2018
462,Pharmacology & Pharmacy,2018
463,Engineering,2018
463,Water Resources,2018
464,Biochemistry & Molecular Biology,2018
464,Chemistry,2018
464,Polymer Science,2018
465,Engineering,2018
465,Mathematics,2018
465,Mechanics,2018
466,Thermodynamics,2018
466,Engineering,2018
467,Thermodynamics,2018
467,Chemistry,2018
467,Mechanics,2018
467,Physics,2018
468,Mathematics,2018
469,Chemistry,2018
470,Physics,2018
471,Chemistry,2018
471,Materials Science,2018
471,Metallurgy & Metallurgical Engineering,2018
472,Chemistry,2018
473,Science & Technology - Other Topics,2018
473,Engineering,2018
473,Environmental Sciences & Ecology,2018
474,Chemistry,2018
475,Thermodynamics,2018
475,Energy & Fuels,2018
476,Chemistry,2018
476,Physics,2018
477,Chemistry,2018
477,Physics,2018
478,Mechanics,2018
478,Materials Science,2018
479,Science & Technology - Other Topics,2018
479,Materials Science,2018
480,Engineering,2018
481,Electrochemistry,2018
482,Chemistry,2018
482,Science & Technology - Other Topics,2018
483,Engineering,2018
484,Science & Technology - Other Topics,2018
484,Materials Science,2018
485,Geology,2018
486,Computer Science,2018
486,Engineering,2018
487,Computer Science,2018
487,Engineering,2018
488,Chemistry,2018
489,Chemistry,2018
490,Chemistry,2018
490,Science & Technology - Other Topics,2018
490,Engineering,2018
491,Chemistry,2018
491,Science & Technology - Other Topics,2018
491,Engineering,2018
492,Chemistry,2018
492,Materials Science,2018
492,Mineralogy,2018
493,Energy & Fuels,2018
493,Engineering,2018
494,Chemistry,2018
494,Materials Science,2018
494,Physics,2018
495,Linguistics,2018
496,Science & Technology - Other Topics,2018
497,Engineering,2018
498,Materials Science,2018
499,Engineering,2018
2500,Mathematics,2018
2501,Mathematics,2018
2502,Engineering,2018
2503,Chemistry,2018
2504,Mathematics,2018
2505,Mathematics,2018
2506,Mathematics,2018
2507,Mathematics,2018
2508,Environmental Sciences & Ecology,2018
2509,Engineering,2018
2509,Telecommunications,2018
2510,Mathematics,2018
2511,Instruments & Instrumentation,2018
2511,Materials Science,2018
2512,Engineering,2018
2512,Optics,2018
2512,Telecommunications,2018
2513,Computer Science,2018
2514,Geography,2018
2515,Engineering,2018
2516,Engineering,2018
2517,Materials Science,2018
2518,Chemistry,2018
2519,Physics,2018
2520,Physics,2018
2521,Physics,2018
2522,Physics,2018
2523,Physics,2018
2524,Science & Technology - Other Topics,2018
2524,Environmental Sciences & Ecology,2018
2524,Water Resources,2018
2525,Computer Science,2018
2525,Engineering,2018
2525,Telecommunications,2018
2526,Computer Science,2018
2526,Engineering,2018
2526,Telecommunications,2018
2527,Construction & Building Technology,2018
2528,Environmental Sciences & Ecology,2018
2529,Automation & Control Systems,2018
2530,Engineering,2018
2531,Computer Science,2018
2531,Engineering,2018
2531,Telecommunications,2018
2532,Engineering,2018
2533,Chemistry,2018
2534,Government & Law,2018
2535,Business & Economics,2018
2536,Chemistry,2018
2537,Plant Sciences,2018
2538,Biotechnology & Applied Microbiology,2018
2538,Research & Experimental Medicine,2018
2539,Engineering,2018
2540,Business & Economics,2018
2541,Computer Science,2018
2541,Engineering,2018
2541,Telecommunications,2018
2542,Computer Science,2018
2542,Engineering,2018
2542,Telecommunications,2018
2543,Science & Technology - Other Topics,2018
2544,Mathematics,2018
2545,Automation & Control Systems,2018
2545,Computer Science,2018
2545,Telecommunications,2018
2546,Mathematics,2018
2547,Thermodynamics,2018
2547,Mechanics,2018
2548,Mathematical & Computational Biology,2018
2548,Neurosciences & Neurology,2018
2549,Computer Science,2018
2549,Engineering,2018
2549,Telecommunications,2018
2550,Computer Science,2018
2550,Engineering,2018
2550,Telecommunications,2018
2551,Pharmacology & Pharmacy,2018
2552,Mathematics,2018
2553,Mathematics,2018
2554,Mathematics,2018
2555,Materials Science,2018
2555,Metallurgy & Metallurgical Engineering,2018
2556,Engineering,2018
2556,Operations Research & Management Science,2018
2556,Mathematics,2018
2557,Engineering,2018
2557,Instruments & Instrumentation,2018
2558,Engineering,2018
2558,Instruments & Instrumentation,2018
2559,Engineering,2018
2559,Instruments & Instrumentation,2018
2560,Transportation,2018
2561,Energy & Fuels,2018
2561,Engineering,2018
2562,Engineering,2018
2562,Water Resources,2018
2563,Computer Science,2018
2564,Computer Science,2018
2565,Mathematics,2018
2566,Engineering,2018
2566,Materials Science,2018
2567,Automation & Control Systems,2018
2567,Engineering,2018
2568,Mathematics,2018
2569,Computer Science,2018
2569,Telecommunications,2018
2570,Mathematics,2018
2571,Mathematics,2018
2572,Materials Science,2018
2573,Mathematics,2018
2574,Mathematics,2018
2575,Polymer Science,2018
2576,Computer Science,2018
2576,Engineering,2018
2576,Telecommunications,2018
2577,Computer Science,2018
2577,Engineering,2018
2577,Telecommunications,2018
2578,Chemistry,2018
2578,Physics,2018
2579,Chemistry,2018
2580,Computer Science,2018
2580,Engineering,2018
2580,Telecommunications,2018
2581,Computer Science,2018
2581,Engineering,2018
2581,Telecommunications,2018
2582,Mathematics,2018
2583,Engineering,2018
2583,Mathematics,2018
2584,Computer Science,2018
2584,Engineering,2018
2584,Telecommunications,2018
2585,Computer Science,2018
2586,Computer Science,2018
2586,Mathematics,2018
2587,Mathematics,2018
2588,Chemistry,2018
2588,Energy & Fuels,2018
2588,Optics,2018
2588,Physics,2018
2589,Computer Science,2018
2589,Engineering,2018
2590,Environmental Sciences & Ecology,2018
2591,Chemistry,2018
2591,Engineering,2018
2592,Geology,2018
2592,Paleontology,2018
2593,Geology,2018
2593,Paleontology,2018
2594,Energy & Fuels,2018
2595,Energy & Fuels,2018
2596,Geology,2018
2597,Chemistry,2018
2598,International Relations,2018
2599,Automation & Control Systems,2018
2599,Engineering,2018
2599,Mathematics,2018
2600,Engineering,2018
2601,Materials Science,2018
2602,Paleontology,2018
2603,Paleontology,2018
2604,Computer Science,2018
2604,Engineering,2018
2605,Mathematics,2018
2606,Mathematics,2018
2607,Science & Technology - Other Topics,2018
2607,Pharmacology & Pharmacy,2018
2608,Chemistry,2018
2608,Energy & Fuels,2018
2608,Engineering,2018
2609,Chemistry,2018
2610,Materials Science,2018
2611,Chemistry,2018
2612,Engineering,2018
2612,Operations Research & Management Science,2018
2613,Engineering,2018
2613,Telecommunications,2018
2614,Chemistry,2018
2614,Physics,2018
2615,Engineering,2018
2616,Chemistry,2018
2616,Environmental Sciences & Ecology,2018
2617,Chemistry,2018
2617,Engineering,2018
2618,Environmental Sciences & Ecology,2018
2619,Chemistry,2018
2620,Chemistry,2018
2621,Anesthesiology,2018
2622,Materials Science,2018
2622,Polymer Science,2018
2623,Science & Technology - Other Topics,2018
2624,Science & Technology - Other Topics,2018
2625,Science & Technology - Other Topics,2018
2626,Science & Technology - Other Topics,2018
2627,Science & Technology - Other Topics,2018
2628,Science & Technology - Other Topics,2018
2629,Science & Technology - Other Topics,2018
2630,Biodiversity & Conservation,2018
2630,Environmental Sciences & Ecology,2018
2631,Environmental Sciences & Ecology,2018
2632,Chemistry,2018
2632,Electrochemistry,2018
2632,Physics,2018
2633,Telecommunications,2018
2634,Materials Science,2018
2634,Metallurgy & Metallurgical Engineering,2018
2635,Computer Science,2018
2636,Mathematics,2018
2637,Instruments & Instrumentation,2018
2637,Spectroscopy,2018
2638,Engineering,2018
2639,Geology,2018
2640,Engineering,2018
2641,Automation & Control Systems,2018
2641,Mathematics,2018
2642,Engineering,2018
2643,Area Studies,2018
2643,Social Sciences - Other Topics,2018
2644,Computer Science,2018
2644,Telecommunications,2018
2645,Computer Science,2018
2645,Engineering,2018
2646,Engineering,2018
2646,Optics,2018
2646,Physics,2018
2647,Engineering,2018
2647,Optics,2018
2647,Physics,2018
2648,Engineering,2018
2648,Telecommunications,2018
2649,Engineering,2018
2649,Telecommunications,2018
2650,Telecommunications,2018
2651,Engineering,2018
2652,Engineering,2018
2653,Engineering,2018
2654,Computer Science,2018
2654,Operations Research & Management Science,2018
2655,Physics,2018
2656,Biochemistry & Molecular Biology,2018
2656,Chemistry,2018
2656,Polymer Science,2018
2657,Thermodynamics,2018
2657,Engineering,2018
2658,Chemistry,2018
2658,Materials Science,2018
2659,Science & Technology - Other Topics,2018
2659,Energy & Fuels,2018
2660,Science & Technology - Other Topics,2018
2660,Energy & Fuels,2018
2661,Engineering,2018
2661,Materials Science,2018
2662,Chemistry,2018
2663,Thermodynamics,2018
2663,Engineering,2018
2663,Mechanics,2018
2664,Thermodynamics,2018
2664,Engineering,2018
2664,Mechanics,2018
2665,Energy & Fuels,2018
2665,Engineering,2018
2666,Chemistry,2018
2666,Physics,2018
2667,Polymer Science,2018
2668,Energy & Fuels,2018
2668,Engineering,2018
2669,Engineering,2018
2669,Instruments & Instrumentation,2018
3670,Computer Science,2018
3670,Education & Educational Research,2018
3670,Engineering,2018
3671,Computer Science,2018
3671,Engineering,2018
3671,Medical Informatics,2018
3672,Environmental Sciences & Ecology,2018
3672,Engineering,2018
3673,Energy & Fuels,2018
3674,Energy & Fuels,2018
3674,Engineering,2018
3675,Energy & Fuels,2018
3675,Engineering,2018
3676,Mechanics,2018
3677,Energy & Fuels,2018
3677,Materials Science,2018
3677,Physics,2018
3678,Automation & Control Systems,2018
3678,Engineering,2018
3679,Automation & Control Systems,2018
3679,Engineering,2018
3680,Geology,2018
3681,Chemistry,2018
3681,Electrochemistry,2018
3682,Engineering,2018
3682,Geology,2018
3682,Water Resources,2018
3683,Materials Science,2018
3684,Materials Science,2018
3685,Engineering,2018
3686,Acoustics,2018
3686,Engineering,2018
3686,Mechanics,2018
3687,Chemistry,2018
3687,Science & Technology - Other Topics,2018
3687,Materials Science,2018
3688,Chemistry,2018
3688,Materials Science,2018
3689,Chemistry,2018
3690,Automation & Control Systems,2018
3690,Instruments & Instrumentation,2018
3691,Automation & Control Systems,2018
3691,Mathematics,2018
3692,Engineering,2018
3692,Water Resources,2018
3693,Energy & Fuels,2018
3694,Energy & Fuels,2018
3695,Metallurgy & Metallurgical Engineering,2018
3696,Chemistry,2018
3697,Engineering,2018
3698,Thermodynamics,2018
3698,Energy & Fuels,2018
3699,Spectroscopy,2018
3700,Geology,2018
3701,Energy & Fuels,2018
3701,Engineering,2018
3702,Computer Science,2018
3702,Engineering,2018
3703,Mathematics,2018
3703,Physics,2018
3704,Engineering,2018
3704,Instruments & Instrumentation,2018
3705,Area Studies,2018
3705,International Relations,2018
3706,Engineering,2018
3706,Telecommunications,2018
3707,Mathematics,2018
3708,Materials Science,2018
3708,Physics,2018
3709,Materials Science,2018
3709,Physics,2018
3710,Engineering,2018
3711,Engineering,2018
3711,Polymer Science,2018
3712,Engineering,2018
3713,Biophysics,2018
3714,Materials Science,2018
3715,Science & Technology - Other Topics,2018
3716,Science & Technology - Other Topics,2018
3717,Construction & Building Technology,2018
3718,Environmental Sciences & Ecology,2018
3719,Chemistry,2018
3719,Nuclear Science & Technology,2018
3720,Chemistry,2018
3721,Chemistry,2018
3721,Engineering,2018
3722,Chemistry,2018
3722,Engineering,2018
3723,Engineering,2018
3724,Engineering,2018
3725,Robotics,2018
3726,Engineering,2018
3726,Materials Science,2018
3726,Mechanics,2018
3727,Engineering,2018
3728,Engineering,2018
3729,Automation & Control Systems,2018
3730,Food Science & Technology,2018
3731,Energy & Fuels,2018
3731,Engineering,2018
3732,Engineering,2018
3732,Water Resources,2018
3733,Chemistry,2018
3733,Physics,2018
3734,Engineering,2018
3734,Instruments & Instrumentation,2018
3735,Environmental Sciences & Ecology,2018
3736,Mathematics,2018
3737,Science & Technology - Other Topics,2018
3738,Engineering,2018
3739,Chemistry,2018
3739,Engineering,2018
3740,Chemistry,2018
3740,Electrochemistry,2018
3740,Energy & Fuels,2018
3741,Science & Technology - Other Topics,2018
3741,Materials Science,2018
3742,Science & Technology - Other Topics,2018
3743,Mathematics,2018
3744,Chemistry,2018
3745,Chemistry,2018
3746,Chemistry,2018
3747,Chemistry,2018
3747,Materials Science,2018
3747,Metallurgy & Metallurgical Engineering,2018
3748,Chemistry,2018
3748,Electrochemistry,2018
3749,Chemistry,2018
3749,Physics,2018
3750,Energy & Fuels,2018
3750,Materials Science,2018
3750,Physics,2018
3751,Thermodynamics,2018
3751,Energy & Fuels,2018
3752,Thermodynamics,2018
3752,Energy & Fuels,2018
3753,Engineering,2018
3753,Telecommunications,2018
3754,Chemistry,2018
3754,Physics,2018
3755,Chemistry,2018
3755,Physics,2018
3756,Thermodynamics,2018
3756,Chemistry,2018
3756,Engineering,2018
3757,Polymer Science,2018
3758,Engineering,2018
3759,Mathematics,2018
3760,Engineering,2018
3761,Chemistry,2018
3762,Spectroscopy,2018
3763,Geochemistry & Geophysics,2018
3764,Chemistry,2018
3764,Materials Science,2018
3764,Mineralogy,2018
3765,Mathematics,2018
3766,Engineering,2018
3766,Water Resources,2018
3767,Energy & Fuels,2018
3767,Engineering,2018
3768,Energy & Fuels,2018
3768,Engineering,2018
3769,Environmental Sciences & Ecology,2018
3770,Business & Economics,2018
3771,Geochemistry & Geophysics,2018
3772,Energy & Fuels,2018
3772,Engineering,2018
3773,Engineering,2018
3774,Engineering,2018
3774,Materials Science,2018
3774,Physics,2018
3775,Engineering,2018
3775,Polymer Science,2018
3776,Chemistry,2018
3776,Engineering,2018
3777,Engineering,2018
3777,Optics,2018
3778,Chemistry,2018
3779,Water Resources,2018
3780,Engineering,2018
3780,Optics,2018
3780,Physics,2018
3781,Energy & Fuels,2018
3782,Geochemistry & Geophysics,2018
3783,Engineering,2018
3783,Water Resources,2018
3784,Engineering,2018
3785,Mathematics,2018
3786,Engineering,2018
3787,Engineering,2018
3788,Engineering,2018
3789,Materials Science,2018
3790,Engineering,2018
3791,Computer Science,2018
3791,Construction & Building Technology,2018
3791,Engineering,2018
3791,Materials Science,2018
3792,Computer Science,2018
3793,Energy & Fuels,2018
3794,Energy & Fuels,2018
3794,Engineering,2018
3795,Energy & Fuels,2018
3795,Engineering,2018
3796,Physics,2018
3797,Electrochemistry,2018
3798,Polymer Science,2018
3799,Construction & Building Technology,2018
3799,Engineering,2018
3800,Operations Research & Management Science,2018
3801,Engineering,2018
3801,Telecommunications,2018
3802,Computer Science,2018
3802,Engineering,2018
3803,Biotechnology & Applied Microbiology,2018
3804,Engineering,2018
3804,Materials Science,2018
3805,Engineering,2018
3805,Optics,2018
3805,Physics,2018
3806,Business & Economics,2018
3806,Engineering,2018
3807,Engineering,2018
3807,Materials Science,2018
3807,Physics,2018
3808,Engineering,2018
3809,Science & Technology - Other Topics,2018
3810,Computer Science,2018
3810,Telecommunications,2018
3811,Materials Science,2018
3812,Mathematics,2018
3813,Chemistry,2018
3814,Engineering,2018
3815,Engineering,2018
3816,Engineering,2018
3817,Engineering,2018
3818,Chemistry,2018
3818,Science & Technology - Other Topics,2018
3818,Materials Science,2018
3818,Physics,2018
3819,Chemistry,2018
3820,Science & Technology - Other Topics,2018
3821,Physics,2018
3822,Engineering,2018
3823,Chemistry,2018
3824,Computer Science,2018
3825,Chemistry,2018
3825,Science & Technology - Other Topics,2018
3825,Materials Science,2018
3825,Physics,2018
3826,Astronomy & Astrophysics,2018
3826,Physics,2018
3827,Chemistry,2018
3828,Chemistry,2018
3828,Electrochemistry,2018
3828,Energy & Fuels,2018
3829,Physics,2018
3830,Energy & Fuels,2018
3831,Energy & Fuels,2018
3832,Chemistry,2018
3832,Crystallography,2018
3833,Construction & Building Technology,2018
3833,Energy & Fuels,2018
3833,Engineering,2018
3834,Engineering,2018
3835,Chemistry,2018
3836,Engineering,2018
3837,Chemistry,2018
3837,Materials Science,2018
3838,Chemistry,2018
3839,Construction & Building Technology,2018
3839,Engineering,2018
3839,Materials Science,2018
3840,Chemistry,2018
3841,Chemistry,2018
3842,Engineering,2018
3843,Urban Studies,2018
3844,Life Sciences & Biomedicine - Other Topics,2018
3844,Computer Science,2018
3844,Engineering,2018
3844,Mathematical & Computational Biology,2018
3845,Oceanography,2018
3846,Engineering,2018
3846,Water Resources,2018
3847,Geology,2018
3848,Energy & Fuels,2018
3849,Energy & Fuels,2018
3849,Engineering,2018
3850,Science & Technology - Other Topics,2018
